単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/4/1,0:00,8415,789,3704,3931,27,306,1888,152,603,0,0,143,0,0,-1,-3132,5,8415
2025/4/1,0:30,8301,789,3546,3993,27,302,1877,149,605,0,0,176,0,0,-1,-3166,4,8301
2025/4/1,1:00,8402,789,3580,3988,26,306,1883,153,607,0,0,206,0,0,-1,-3140,5,8402
2025/4/1,1:30,8536,787,3874,3982,27,305,1883,153,607,0,0,227,0,0,-1,-3314,6,8536
2025/4/1,2:00,8732,788,4236,4091,28,305,1884,150,610,0,0,243,0,0,-1,-3608,6,8732
2025/4/1,2:30,8842,787,4498,4085,29,300,1888,152,607,0,0,267,0,0,-1,-3776,6,8842
2025/4/1,3:00,8962,789,4650,4085,30,305,1905,150,611,0,0,259,0,0,-1,-3826,5,8962
2025/4/1,3:30,8938,785,4532,4089,31,306,1900,151,608,0,0,291,0,0,-2,-3758,5,8938
2025/4/1,4:00,9039,788,4860,4092,31,297,1903,153,605,0,0,316,0,0,-1,-4010,5,9039
2025/4/1,4:30,9103,785,4884,4068,32,305,1901,149,606,0,0,347,0,0,-1,-3978,5,9103
2025/4/1,5:00,9385,789,4742,4048,33,305,1919,152,608,0,0,366,0,0,-1,-3584,8,9385
2025/4/1,5:30,9354,789,4034,3938,34,309,1925,150,613,63,0,384,0,0,2,-2896,9,9354
2025/4/1,6:00,9583,786,3896,3846,34,311,1933,152,633,288,0,383,0,196,37,-2922,10,9583
2025/4/1,6:30,9731,789,3852,3857,34,308,1944,154,643,652,0,358,0,228,23,-3132,21,9731
2025/4/1,7:00,9737,789,3844,3858,33,312,1976,154,675,989,0,335,0,0,-1,-3254,27,9737
2025/4/1,7:30,10065,787,3820,3846,33,347,1974,156,689,1314,0,293,0,0,0,-3216,22,10065
2025/4/1,8:00,10563,785,4856,3878,34,368,1972,156,699,1526,0,289,0,0,-6,-4012,18,10563
2025/4/1,8:30,11024,791,5064,3922,35,448,1983,159,716,1647,0,302,0,0,-3,-4056,16,11024
2025/4/1,9:00,11315,785,5168,3962,34,452,1983,159,716,1733,0,335,0,0,-3,-4028,19,11315
2025/4/1,9:30,11275,788,5032,3996,34,363,1980,158,719,1808,0,373,0,0,1,-3998,21,11275
2025/4/1,10:00,11205,788,4870,3993,34,353,1955,157,714,1863,0,444,0,0,-5,-3982,21,11205
2025/4/1,10:30,11168,790,4784,3933,33,352,1961,158,727,1870,0,462,0,0,0,-3920,18,11168
2025/4/1,11:00,11112,793,4604,3888,33,347,1978,159,743,1901,0,484,0,0,1,-3834,15,11112
2025/4/1,11:30,11093,787,4756,3790,33,352,1978,160,738,1840,0,504,0,0,-10,-3854,19,11093
2025/4/1,12:00,10668,785,4756,3796,31,353,1971,157,742,1746,0,521,0,0,-41,-4164,15,10668
2025/4/1,12:30,10554,784,4684,3814,31,366,1978,160,741,1620,0,494,0,0,-31,-4098,11,10554
2025/4/1,13:00,10918,791,4978,3821,33,450,1975,156,730,1527,0,508,0,0,0,-4068,17,10918
