単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/6/1,0:00,6170,790,1870,2414,20,191,2110,145,724,0,0,1054,0,2,3,-3156,3,6170
2025/6/1,0:30,6054,792,1706,2426,20,194,2133,145,720,0,0,1109,0,2,3,-3198,2,6054
2025/6/1,1:00,6020,788,1702,2427,19,198,2135,146,717,0,0,1101,0,2,-1,-3216,2,6020
2025/6/1,1:30,6086,788,1820,2475,19,195,2135,144,717,0,0,1030,0,2,0,-3242,3,6086
2025/6/1,2:00,6178,792,1908,2528,19,195,2137,147,726,0,0,1005,0,2,1,-3284,2,6178
2025/6/1,2:30,6289,788,1838,2676,20,191,2130,146,718,0,0,975,0,2,0,-3198,3,6289
2025/6/1,3:00,6485,792,1994,2734,21,191,2131,145,697,0,0,921,0,2,-1,-3144,2,6485
2025/6/1,3:30,6523,790,2142,2726,22,191,2134,146,672,0,0,816,0,2,-1,-3120,3,6523
2025/6/1,4:00,6627,788,2334,2745,22,189,2129,146,668,2,0,761,0,2,-1,-3160,2,6627
2025/6/1,4:30,6652,792,2494,2621,23,195,2123,145,666,69,0,694,0,2,-2,-3172,2,6652
2025/6/1,5:00,6595,788,2092,2665,23,193,2125,145,669,213,0,618,0,2,-1,-2940,3,6595
2025/6/1,5:30,6467,792,1910,2626,23,186,2154,148,678,435,0,553,0,2,-1,-3042,3,6467
2025/6/1,6:00,6339,790,1870,2519,22,163,2158,145,682,724,0,419,0,2,-1,-3162,8,6339
2025/6/1,6:30,6288,788,1864,2236,22,139,2177,147,686,1042,0,343,0,2,32,-3200,10,6288
2025/6/1,7:00,6255,792,1608,1988,22,142,2208,149,700,1424,0,351,0,2,18,-3170,21,6255
2025/6/1,7:30,6402,788,1542,1804,22,143,2242,148,710,1810,0,420,0,2,-40,-3206,17,6402
2025/6/1,8:00,6542,790,1488,1634,23,143,2228,150,717,2151,0,400,0,2,-4,-3194,14,6542
2025/6/1,8:30,6599,790,1138,1508,23,142,2250,153,719,2661,0,324,0,2,-13,-3110,12,6599
2025/6/1,9:00,6808,788,1012,1321,23,140,2316,151,733,3206,143,258,0,2,-23,-3134,15,6808
2025/6/1,9:30,6766,792,954,1329,22,137,2383,156,743,3062,413,221,0,2,6,-3058,17,6766
2025/6/1,10:00,6777,790,986,1326,21,141,2376,152,736,3228,387,193,0,2,23,-3212,15,6777
2025/6/1,10:30,6800,788,900,1335,21,139,2371,154,734,3405,477,168,0,2,1,-3232,14,6800
2025/6/1,11:00,6792,788,1058,1326,22,142,2341,154,722,3256,869,154,0,2,24,-3208,11,6792
2025/6/1,11:30,6813,796,1352,1347,22,140,2312,150,713,3092,941,101,79,2,6,-3234,14,6813
2025/6/1,12:00,6812,786,1404,1390,22,142,2293,153,714,3116,1004,79,81,1,-6,-3294,12,6812
2025/6/1,12:30,6723,788,1322,1415,21,146,2285,150,711,3094,979,82,81,1,-7,-3292,7,6723
2025/6/1,13:00,6675,792,1450,1583,21,146,2308,151,712,3019,999,116,135,1,-3,-3634,13,6675
2025/6/1,13:30,6702,788,1638,1667,21,142,2265,151,705,2979,1010,123,152,0,5,-3790,8,6702
2025/6/1,14:00,6584,792,1362,1687,21,142,2265,149,703,3329,600,152,161,0,-13,-4016,11,6584
2025/6/1,14:30,6549,790,1106,1597,21,142,2285,151,708,3161,572,218,159,0,10,-3654,14,6549
2025/6/1,15:00,6531,788,1308,1583,21,146,2258,148,699,2772,516,245,160,0,-27,-3424,14,6531
2025/6/1,15:30,6628,786,1794,1524,21,148,2262,149,698,2610,120,231,182,0,-43,-3566,14,6628
2025/6/1,16:00,6616,794,2190,1700,22,182,2251,149,688,2176,0,372,0,0,-24,-3900,16,6616
2025/6/1,16:30,6820,788,2798,2110,23,186,2228,146,680,1590,0,358,0,0,-5,-4096,14,6820
2025/6/1,17:00,6858,788,2908,2405,23,192,2209,147,675,1039,0,345,0,0,-3,-3886,16,6858
2025/6/1,17:30,6880,792,2504,2805,24,192,2205,146,675,511,0,372,0,0,-3,-3358,15,6880
2025/6/1,18:00,7100,788,2802,3006,25,185,2151,145,662,221,0,384,0,0,14,-3302,19,7100
2025/6/1,18:30,7233,788,2972,3028,26,188,2144,146,660,32,0,435,0,0,36,-3238,16,7233
2025/6/1,19:00,7265,792,2706,3194,26,189,2143,144,659,0,0,493,0,0,14,-3116,21,7265
2025/6/1,19:30,7219,792,2560,3325,26,186,2129,145,660,0,0,530,0,0,-1,-3144,11,7219
2025/6/1,20:00,7083,788,2320,3251,25,190,2133,145,659,0,0,546,0,0,-1,-2988,15,7083
2025/6/1,20:30,6992,790,2472,2994,24,189,2132,146,656,0,0,558,0,0,-1,-2984,16,6992
2025/6/1,21:00,6794,788,2628,2800,24,186,2130,146,659,0,0,612,0,0,-1,-3190,12,6794
2025/6/1,21:30,6597,790,2500,2526,23,187,2137,145,660,0,0,705,0,0,-1,-3082,7,6597
2025/6/1,22:00,6512,790,2328,2561,21,188,2131,145,662,0,0,765,0,0,-1,-3092,14,6512
2025/6/1,22:30,6342,788,2264,2428,21,183,2130,145,659,0,0,792,0,0,-1,-3080,13,6342
2025/6/1,23:00,6259,792,2230,2379,21,187,2129,146,662,0,0,849,0,0,-1,-3140,5,6259
2025/6/1,23:30,6148,786,2164,2422,21,189,2124,145,664,0,0,859,0,0,-2,-3228,4,6148
2025/6/2,0:00,6019,794,2210,2442,20,191,2123,145,660,0,0,875,0,0,-1,-3442,2,6019
2025/6/2,0:30,5930,790,2156,2477,19,188,2122,145,660,0,0,912,0,0,-1,-3540,2,5930
2025/6/2,1:00,5959,788,2118,2510,19,190,2114,147,656,0,0,974,0,0,-1,-3558,2,5959
2025/6/2,1:30,5945,788,2180,2443,19,188,2121,144,662,0,0,975,0,0,-1,-3576,2,5945
2025/6/2,2:00,6181,792,2336,2456,20,186,2115,145,660,0,0,970,0,0,-1,-3500,2,6181
2025/6/2,2:30,6230,790,2236,2414,21,188,2111,145,658,0,0,981,0,0,-1,-3316,3,6230
2025/6/2,3:00,6507,788,2454,2404,21,188,2103,145,660,0,0,985,0,0,-3,-3240,2,6507
2025/6/2,3:30,6597,792,2722,2384,22,189,2102,146,657,0,0,921,0,0,-2,-3338,2,6597
2025/6/2,4:00,6718,794,3034,2359,23,190,2102,144,658,8,0,855,0,0,-1,-3450,2,6718
2025/6/2,4:30,6779,784,3070,2265,23,196,2101,145,659,161,0,840,0,0,-1,-3466,2,6779
2025/6/2,5:00,6774,792,2754,2164,24,191,2153,146,660,430,0,801,0,0,0,-3344,3,6774
2025/6/2,5:30,6624,792,2296,1993,23,169,2149,147,630,944,0,779,0,0,-1,-3300,3,6624
2025/6/2,6:00,6570,788,2008,1738,23,141,2139,147,541,1728,0,745,0,0,-2,-3432,6,6570
2025/6/2,6:30,6712,790,1446,1743,23,144,2157,146,498,2649,0,756,0,0,-16,-3636,12,6712
2025/6/2,7:00,6877,790,1292,1707,23,143,2227,148,518,3392,190,472,263,0,1,-3856,20,6877
2025/6/2,7:30,7166,790,1390,1873,23,146,2209,147,507,3676,545,294,322,0,-4,-3902,17,7166
2025/6/2,8:00,7620,788,1864,1971,23,148,2259,150,521,3774,1349,265,454,0,-4,-4154,15,7620
2025/6/2,8:30,8109,792,1862,2067,23,150,2263,150,517,4256,1433,267,447,0,2,-4252,12,8109
2025/6/2,9:00,8377,788,1514,2049,24,138,2259,149,514,4700,1648,258,374,0,2,-4032,14,8377
2025/6/2,9:30,8541,788,1364,2061,23,135,2247,149,497,5004,1748,249,414,0,2,-3996,18,8541
2025/6/2,10:00,8540,788,1180,2090,23,136,2212,147,480,5260,1813,242,389,0,-2,-4030,14,8540
2025/6/2,10:30,8656,794,1226,2019,23,136,2192,149,470,5428,1865,243,385,0,-2,-4036,14,8656
2025/6/2,11:00,8707,788,1472,1993,23,139,2212,147,468,5289,2118,91,515,0,0,-3926,11,8707
2025/6/2,11:30,8659,786,1552,1903,23,139,2199,147,470,5249,2114,70,511,0,-11,-3882,14,8659
2025/6/2,12:00,8324,792,1326,1893,24,137,2212,147,469,5134,2086,62,493,0,-44,-3838,10,8324
2025/6/2,12:30,8263,788,1504,1922,23,137,2246,147,477,4961,2030,56,430,0,-44,-3960,6,8263
2025/6/2,13:00,8626,790,1578,1989,23,133,2269,150,487,5093,1595,200,187,0,-11,-4088,13,8626
2025/6/2,13:30,8713,790,1590,1906,24,135,2312,148,499,5214,1102,212,182,0,-2,-4122,7,8713
2025/6/2,14:00,8715,790,2048,1972,24,135,2349,152,512,4816,933,209,155,0,-3,-4300,11,8715
2025/6/2,14:30,8687,788,2146,2121,25,136,2359,150,514,4291,673,330,68,0,-8,-4172,7,8687
2025/6/2,15:00,8592,792,2366,2334,26,133,2370,151,565,3526,563,355,57,0,-1,-4038,13,8592
2025/6/2,15:30,8649,790,2996,2511,25,140,2341,151,632,2660,453,341,54,0,6,-3956,12,8649
2025/6/2,16:00,8541,790,3216,2795,26,180,2288,146,659,2112,0,342,0,0,-11,-4018,16,8541
2025/6/2,16:30,8477,792,3448,3088,26,194,2282,148,664,1437,0,354,0,0,2,-3966,8,8477
2025/6/2,17:00,8258,788,3400,3290,26,194,2261,145,664,842,0,346,0,0,-2,-3714,18,8258
2025/6/2,17:30,8216,794,3702,3516,26,188,2223,145,656,435,0,312,0,0,-4,-3792,15,8216
2025/6/2,18:00,8159,788,3732,3743,27,189,2190,143,647,181,0,285,0,0,-1,-3784,19,8159
2025/6/2,18:30,8308,792,3882,3902,27,187,2170,145,641,27,0,256,0,0,-2,-3734,15,8308
