単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/5/1,0:00,6213,0,1922,4297,21,164 ,1649,142,626,0,0,870,0,0,-1,-3480,3 ,6213
2024/5/1,0:30,6159,0,1942,4377,21,163,1645,141,631,0,0,885,0,0,-1,-3648,3,6159
2024/5/1,1:00,6159,0,2038,4397,20,166,1643,143,630,0,0,888,0,0,-1,-3768,3,6159
2024/5/1,1:30,6171,0,1946,4354,21,164,1650,141,632,0,0,933,0,0,-1,-3672,3,6171
2024/5/1,2:00,6287,0,1992,4341,21,165,1644,143,629,0,0,920,0,0,-1,-3570,3,6287
2024/5/1,2:30,6431,0,2062,4394,22,164,1643,139,632,0,0,934,0,0,-1,-3562,4,6431
2024/5/1,3:00,6540,0,1874,4353,23,166,1649,144,636,0,0,921,0,0,-1,-3228,3,6540
2024/5/1,3:30,6654,0,1978,4358,24,163,1649,141,632,0,0,873,0,0,-1,-3166,3,6654
2024/5/1,4:00,6704,0,2078,4326,24,164,1654,143,634,0,0,837,0,0,-1,-3158,3,6704
2024/5/1,4:30,6773,0,2140,4351,25,166,1655,140,630,11,0,742,0,0,2,-3092,3,6773
2024/5/1,5:00,6740,0,2184,4411,25,163,1628,140,618,145,0,682,0,0,13,-3272,3,6740
2024/5/1,5:30,6743,0,2186,4389,25,165,1618,141,621,415,0,643,0,0,16,-3480,4,6743
2024/5/1,6:00,6784,0,2392,4254,25,159,1613,143,624,800,0,627,0,0,25,-3884,6,6784
2024/5/1,6:30,6803,0,2420,4125,24,158,1607,142,639,1195,0,555,0,0,2,-4076,12,6803
2024/5/1,7:00,6884,0,2214,4131,25,156,1619,144,663,1563,0,494,0,0,-4,-4142,21,6884
2024/5/1,7:30,7088,0,2156,4087,25,159,1646,140,683,1839,0,469,0,0,-2,-4132,18,7088
2024/5/1,8:00,7507,0,2568,4170,27,158,1635,132,713,2265,0,472,0,0,-7,-4642,16,7507
2024/5/1,8:30,7832,0,2430,4168,26,157,1647,134,726,2660,0,481,0,0,0,-4610,13,7832
2024/5/1,9:00,7966,0,2474,3979,26,157,1654,132,733,3019,0,477,0,0,-3,-4698,16,7966
2024/5/1,9:30,8095,0,2474,3811,26,160,1660,135,736,3419,0,482,0,0,4,-4830,18,8095
2024/5/1,10:00,8023,0,2506,3611,25,160,1618,133,737,3564,0,509,0,0,-3,-4856,19,8023
2024/5/1,10:30,8097,0,2636,3551,24,157,1612,135,739,3584,0,544,0,0,-3,-4898,16,8097
2024/5/1,11:00,8067,0,2674,3466,25,160,1619,132,739,3512,0,599,0,0,-3,-4868,12,8067
2024/5/1,11:30,8059,0,2624,3510,25,162,1611,134,727,3565,0,616,0,0,-4,-4926,15,8059
2024/5/1,12:00,7763,0,2354,3464,25,162,1605,132,735,3610,0,607,0,0,-41,-4902,12,7763
2024/5/1,12:30,7757,0,2334,3573,24,162,1608,134,730,3486,0,590,0,0,-40,-4852,8,7757
