単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/2/1,0:00,8808,0,4464,4729,410,363,1459,160,521,0,0,1241,0,1,-1,-4546,6,8807
2024/2/1,0:30,8597,0,3952,4648,412,363,1458,161,500,0,0,1211,0,1,-1,-4114,5,8596
2024/2/1,1:00,8727,0,3896,4632,412,361,1458,161,503,0,0,1142,0,1,-1,-3844,5,8726
2024/2/1,1:30,8957,0,4022,4899,406,357,1458,159,502,0,0,1195,0,1,-1,-4048,6,8956
2024/2/1,2:00,8966,0,4020,4825,406,355,1457,160,501,0,0,1236,0,1,-1,-4002,7,8965
2024/2/1,2:30,9183,0,4108,4950,410,351,1460,159,502,0,0,1208,0,1,-1,-3972,6,9182
2024/2/1,3:00,9255,0,4220,5095,404,350,1483,161,497,0,0,1262,0,1,-1,-4224,6,9254
2024/2/1,3:30,9302,0,4230,5085,406,347,1474,160,494,0,0,1444,0,1,-1,-4344,5,9301
2024/2/1,4:00,9419,0,4244,5250,406,351,1481,158,491,0,0,1538,0,1,-1,-4506,5,9418
2024/2/1,4:30,9514,0,4180,5306,406,424,1486,161,491,0,0,1589,0,1,-1,-4536,6,9513
2024/2/1,5:00,9669,0,4574,5209,410,361,1495,160,488,0,0,1608,0,1,-1,-4646,9,9668
2024/2/1,5:30,9943,0,4880,5326,418,356,1517,158,488,0,0,1629,0,1,-1,-4840,10,9942
2024/2/1,6:00,10193,0,4758,5488,416,372,1571,160,487,0,0,1643,0,1,-4,-4714,11,10189
2024/2/1,6:30,10322,0,4678,5516,408,371,1575,160,486,13,0,1596,0,1,16,-4500,18,10338
2024/2/1,7:00,10396,0,4536,5438,406,373,1564,159,484,165,0,1593,0,1,0,-4350,27,10396
2024/2/1,7:30,10717,0,4674,5338,408,402,1575,148,494,506,0,1645,0,1,7,-4496,22,10724
2024/2/1,8:00,11153,0,4930,5183,404,422,1590,147,500,971,0,1662,0,1,4,-4676,19,11157
2024/2/1,8:30,11353,0,4692,4946,390,426,1603,149,525,1548,0,1669,0,1,4,-4614,18,11357
2024/2/1,9:00,11576,0,4696,4712,402,418,1535,146,527,2110,0,1658,0,1,3,-4648,19,11579
2024/2/1,9:30,11752,0,5044,4797,390,415,1529,149,531,2486,0,1620,0,1,2,-5232,22,11754
2024/2/1,10:00,11557,0,4874,4623,248,402,1525,149,533,2896,0,1630,0,1,5,-5346,22,11562
2024/2/1,10:30,11530,0,4558,4666,158,403,1537,149,552,3221,0,1626,0,1,1,-5360,19,11531
2024/2/1,11:00,11502,0,4204,4715,138,407,1516,148,518,3641,0,1634,0,1,5,-5436,16,11507
2024/2/1,11:30,11428,0,4148,4346,138,407,1509,148,517,3855,0,1647,0,1,14,-5308,20,11442
2024/2/1,12:00,11104,0,3892,4338,134,409,1450,142,476,4000,0,1596,0,1,-43,-5352,18,11061
2024/2/1,12:30,10945,0,3702,4479,136,403,1464,145,475,3968,0,1538,0,1,-32,-5378,12,10913
2024/2/1,13:00,11417,0,4252,4760,138,407,1468,146,495,3623,0,1604,0,1,-4,-5496,19,11413
2024/2/1,13:30,11603,0,4218,5311,144,414,1468,143,472,3391,0,1601,0,1,3,-5572,12,11606
2024/2/1,14:00,11583,0,4298,5673,228,408,1526,144,473,2863,0,1576,0,1,0,-5624,17,11583
2024/2/1,14:30,11643,0,4452,6176,240,401,1545,148,502,2182,0,1604,0,1,1,-5622,14,11644
2024/2/1,15:00,11845,0,4984,6417,300,456,1568,145,504,1540,0,1606,0,1,6,-5694,18,11851
2024/2/1,15:30,12152,0,5530,6699,462,407,1565,146,485,954,0,1609,0,1,-3,-5722,16,12149
2024/2/1,16:00,12269,0,5716,6793,476,450,1699,153,565,193,0,1570,0,1,5,-5374,27,12274
2024/2/1,16:30,12565,0,6138,6781,528,514,1668,147,496,31,0,1558,0,1,-2,-5312,15,12563
2024/2/1,17:00,12816,0,6026,7077,526,520,1660,144,485,0,0,1589,0,1,40,-5234,22,12856
2024/2/1,17:30,12993,0,6118,7205,560,514,1654,146,488,0,0,1541,0,1,33,-5258,24,13026
2024/2/1,18:00,12915,0,6010,7209,552,517,1650,149,486,0,0,1517,0,1,-1,-5204,28,12914
2024/2/1,18:30,12878,0,6102,7117,440,515,1640,158,485,0,0,1501,0,1,-1,-5106,25,12877
2024/2/1,19:00,12556,0,6032,7051,410,439,1631,161,487,0,0,1463,0,1,-1,-5142,23,12555
2024/2/1,19:30,12365,0,5922,6991,338,516,1632,160,486,0,0,1430,0,1,-1,-5130,19,12364
2024/2/1,20:00,12127,0,5858,7028,338,518,1564,159,486,0,0,1432,0,1,-1,-5278,21,12126
2024/2/1,20:30,11919,0,5718,6952,338,518,1558,160,482,0,0,1448,0,1,-1,-5278,22,11918
2024/2/1,21:00,11649,0,5750,6710,336,516,1536,161,484,0,0,1525,0,1,-1,-5388,18,11648
2024/2/1,21:30,11209,0,5512,6610,344,510,1528,160,484,0,0,1478,0,1,-1,-5430,12,11208
2024/2/1,22:00,10937,0,4986,6532,408,376,1518,158,491,0,0,1451,0,1,-1,-5006,22,10936
2024/2/1,22:30,10576,0,4864,6339,404,419,1515,160,485,0,0,1457,0,1,-1,-5084,16,10575
2024/2/1,23:00,10624,0,4970,6158,406,422,1504,160,484,0,0,1409,0,1,-1,-4908,18,10623
2024/2/1,23:30,10316,0,4494,5983,406,355,1507,158,482,0,0,1387,0,1,-1,-4470,13,10315
2024/2/2,0:00,10173,0,4576,5537,402,344,1495,160,482,0,0,1411,0,1,-1,-4244,9,10172
2024/2/2,0:30,10170,0,4406,5631,408,347,1489,160,486,0,0,1392,0,1,-1,-4158,8,10169
2024/2/2,1:00,10163,0,4336,5563,406,346,1491,159,483,0,0,1369,0,1,-1,-4000,9,10162
2024/2/2,1:30,10314,0,4424,5658,406,346,1491,160,486,0,0,1360,0,1,-1,-4028,10,10313
2024/2/2,2:00,10280,0,4412,5727,404,353,1518,160,486,0,0,1327,0,1,-1,-4118,10,10279
2024/2/2,2:30,10515,0,4772,5794,406,428,1513,158,484,0,0,1323,0,1,-1,-4374,10,10514
2024/2/2,3:00,10477,0,5016,5874,404,424,1521,160,483,0,0,1293,0,1,-1,-4708,9,10476
2024/2/2,3:30,10410,0,4832,5835,406,422,1523,160,482,0,0,1242,0,1,-1,-4502,9,10409
2024/2/2,4:00,10534,0,5210,6012,406,424,1532,158,484,0,0,1243,0,1,-1,-4944,8,10533
2024/2/2,4:30,10597,0,5200,6174,404,427,1523,160,481,0,0,1227,0,1,-1,-5008,8,10596
2024/2/2,5:00,10841,0,5404,6075,406,362,1524,160,492,0,0,1194,0,1,-1,-4788,11,10840
2024/2/2,5:30,11017,0,5470,6144,406,353,1532,158,490,0,0,1191,0,1,-1,-4740,12,11016
2024/2/2,6:00,11480,0,5866,6160,406,362,1587,160,494,0,0,1239,0,1,8,-4808,13,11488
2024/2/2,6:30,11757,0,6138,6343,404,364,1587,160,489,20,0,1167,0,1,1,-4936,20,11758
2024/2/2,7:00,11772,0,5902,6451,406,366,1589,160,488,180,0,1187,0,1,3,-4988,30,11775
2024/2/2,7:30,12039,0,5766,6451,406,391,1605,153,503,510,0,1248,0,1,2,-5020,25,12041
2024/2/2,8:00,12502,0,6276,6708,404,413,1597,145,480,1016,0,1199,0,1,16,-5758,21,12518
2024/2/2,8:30,12815,0,5946,6697,406,422,1596,143,477,1648,0,1212,0,1,0,-5756,23,12815
2024/2/2,9:00,12846,0,5846,6426,404,418,1523,145,481,2350,0,1219,0,1,3,-5988,21,12849
2024/2/2,9:30,12704,0,5454,6065,408,421,1490,145,479,3033,0,1251,0,1,0,-6068,25,12704
2024/2/2,10:00,12503,0,4978,5781,304,411,1472,145,470,3754,0,1197,0,1,-1,-6034,24,12502
2024/2/2,10:30,12377,0,4780,5562,226,407,1467,143,472,4023,0,1221,0,1,5,-5946,21,12382
2024/2/2,11:00,12181,0,4510,5512,138,401,1483,151,506,4052,0,1289,0,1,1,-5880,18,12182
2024/2/2,11:30,12014,0,4404,5351,138,402,1454,149,476,4288,0,1292,0,1,6,-5962,21,12020
2024/2/2,12:00,11523,0,4154,4958,138,402,1400,149,477,4249,0,1368,0,1,-34,-5792,19,11489
2024/2/2,12:30,11514,0,4140,5222,138,397,1401,153,478,4042,0,1343,0,1,-34,-5814,13,11480
2024/2/2,13:00,11761,0,4366,5748,140,403,1422,158,519,3450,0,1414,0,1,-2,-5880,20,11759
2024/2/2,13:30,11810,0,4484,5877,138,405,1435,157,528,3244,0,1409,0,1,4,-5882,14,11814
2024/2/2,14:00,11808,0,4800,6043,140,398,1471,160,488,2923,0,1336,0,1,-1,-5972,20,11807
2024/2/2,14:30,11793,0,5078,6211,224,396,1501,163,523,2332,0,1410,0,1,3,-6066,20,11796
2024/2/2,15:00,11832,0,5426,6547,248,411,1541,161,526,1605,0,1415,0,1,-1,-6068,19,11831
2024/2/2,15:30,12092,0,5982,6936,274,500,1541,161,509,887,0,1434,0,1,-5,-6150,17,12087
2024/2/2,16:00,12260,0,6442,7071,452,505,1648,166,563,211,0,1421,0,1,10,-6244,24,12270
2024/2/2,16:30,12558,0,6778,7159,556,509,1616,158,505,37,0,1403,0,137,3,-6320,20,12561
2024/2/2,17:00,12731,0,6746,7213,516,512,1626,160,492,0,0,1460,0,143,38,-6162,25,12769
2024/2/2,17:30,12646,0,6470,7218,514,511,1617,160,491,0,0,1464,0,143,31,-5962,20,12677
2024/2/2,18:00,12631,0,6356,7171,510,514,1616,158,490,0,0,1547,0,145,-1,-5902,26,12630
2024/2/2,18:30,12474,0,6254,7143,502,514,1620,159,495,0,0,1593,0,1,-1,-5828,21,12473
2024/2/2,19:00,12253,0,6276,7047,480,431,1603,160,492,0,0,1613,0,1,-1,-5872,22,12252
2024/2/2,19:30,12079,0,6106,6956,406,504,1608,158,496,0,0,1620,0,1,-1,-5794,18,12078
2024/2/2,20:00,11826,0,6078,6821,406,478,1535,160,494,0,0,1628,0,1,-1,-5798,23,11825
2024/2/2,20:30,11664,0,5904,6834,398,487,1517,159,494,0,0,1641,0,1,-1,-5790,19,11663
2024/2/2,21:00,11376,0,5862,6655,402,499,1428,158,494,0,0,1652,0,1,-1,-5792,17,11375
2024/2/2,21:30,10995,0,5770,6463,400,399,1411,161,497,0,0,1669,0,1,-1,-5788,12,10994
2024/2/2,22:00,10644,0,5232,6173,354,346,1362,159,495,0,0,1662,0,1,-1,-5160,20,10643
2024/2/2,22:30,10278,0,4988,6144,306,333,1316,160,496,0,0,1646,0,1,-1,-5128,16,10277
2024/2/2,23:00,10360,0,5218,6120,262,333,1237,158,495,0,0,1643,0,1,-1,-5124,17,10359
2024/2/2,23:30,10150,0,4994,6039,358,333,1194,160,497,0,0,1608,0,1,-1,-5046,12,10149
2024/2/3,0:00,9935,0,4954,6304,260,337,1030,158,499,0,0,1551,0,1,-1,-5168,9,9934
2024/2/3,0:30,9769,0,4852,6377,152,336,1010,160,501,0,0,1508,0,1,-1,-5136,8,9768
2024/2/3,1:00,9826,0,4932,6242,142,339,1033,160,503,0,0,1457,0,1,-1,-4992,9,9825
2024/2/3,1:30,9864,0,4882,6229,142,412,1033,160,505,0,0,1416,0,1,-1,-4926,10,9863
2024/2/3,2:00,9986,0,5260,6323,140,406,1030,159,505,0,0,1371,0,1,-1,-5220,11,9985
2024/2/3,2:30,10026,0,5250,6453,140,409,1025,160,504,0,0,1360,0,1,-1,-5286,10,10025
