単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2026/3/1,0:00,7782,0,2422,5339,25,303,0,1783,162,801,0,0,0,1719,0,1,-1,-4778,6,7782
2026/3/1,0:30,7692,0,2338,5387,24,303,0,1773,161,807,0,0,0,1740,0,1,-2,-4846,6,7692
2026/3/1,1:00,7823,0,2542,5395,24,303,0,1765,163,805,0,0,0,1772,0,1,-1,-4952,6,7823
2026/3/1,1:30,7863,0,2412,5410,24,306,0,1759,160,808,0,0,0,1769,0,1,-1,-4792,7,7863
2026/3/1,2:00,8001,0,2518,5492,25,303,0,1766,162,803,0,0,0,1733,0,1,-2,-4808,8,8001
2026/3/1,2:30,8215,0,2700,5574,26,304,0,1773,161,806,0,0,0,1722,0,1,-1,-4858,7,8215
2026/3/1,3:00,8297,0,2808,5567,27,303,0,1801,162,806,0,0,0,1676,0,1,1,-4862,7,8297
2026/3/1,3:30,8371,0,2932,5560,27,303,0,1796,162,805,0,0,0,1670,0,1,1,-4892,6,8371
2026/3/1,4:00,8455,0,2950,5561,28,301,0,1794,161,804,0,0,0,1570,0,1,1,-4722,6,8455
2026/3/1,4:30,8502,0,2996,5562,28,309,0,1800,163,805,0,0,0,1480,0,1,2,-4650,6,8502
2026/3/1,5:00,8550,0,3102,5520,28,314,0,1793,160,802,0,0,0,1533,0,1,0,-4712,9,8550
2026/3/1,5:30,8560,0,3338,5452,28,317,0,1811,163,804,0,0,0,1531,0,1,1,-4896,10,8560
2026/3/1,6:00,8510,0,3128,5277,28,312,0,1852,162,800,0,36,0,1579,0,1,1,-4678,12,8510
2026/3/1,6:30,8456,0,3388,4896,28,313,0,1848,161,796,0,399,0,1549,0,1,-5,-4938,20,8456
2026/3/1,7:00,8240,0,3212,4151,28,309,0,1860,163,789,0,1154,0,1470,0,1,-3,-4922,28,8240
2026/3/1,7:30,8114,0,2602,3398,28,303,0,1883,164,780,0,2140,0,1479,0,-1,-11,-4674,23,8114
2026/3/1,8:00,8314,0,1750,2860,29,269,0,1885,168,741,0,3248,0,1509,0,-209,-1,-3958,23,8314
2026/3/1,8:30,8263,0,1510,2358,27,231,592,1954,174,695,0,4188,0,1476,0,-224,-2,-4146,22,8263
2026/3/1,9:00,8458,0,1896,2273,28,227,763,1917,172,657,200,4246,525,1437,0,-224,-3,-4190,22,8458
2026/3/1,9:30,8306,0,1956,2335,27,229,654,1831,165,615,201,4222,1337,1391,0,-226,-6,-4256,23,8306
2026/3/1,10:00,8202,0,1542,2401,26,227,609,1656,156,595,201,4806,1435,1364,0,-224,-9,-4362,24,8202
2026/3/1,10:30,8080,0,1238,2331,25,224,533,1643,160,594,201,5117,1436,1299,0,-224,0,-4348,21,8080
2026/3/1,11:00,8019,0,1370,2323,24,229,524,1649,157,589,201,4886,1949,1267,0,-222,-8,-4262,17,8019
2026/3/1,11:30,7906,0,1200,2300,23,228,501,1643,158,588,201,5052,2025,1217,0,-226,-35,-4264,22,7906
2026/3/1,12:00,7905,0,1598,2315,23,225,507,1635,160,592,201,4654,2487,1247,0,-222,0,-4338,16,7905
2026/3/1,12:30,7723,0,1520,2396,23,229,508,1638,157,603,201,4422,2442,1346,0,-224,-1,-4398,12,7723
2026/3/1,13:00,7691,0,1526,2386,22,227,516,1651,160,612,201,4200,2302,1383,0,-222,-5,-4270,21,7691
2026/3/1,13:30,7624,0,1726,2396,23,231,551,1683,162,622,201,3892,2202,1386,0,-222,-1,-4292,18,7624
2026/3/1,14:00,7593,0,1876,2480,24,226,655,1741,167,642,201,3672,1675,1357,0,-222,0,-4388,18,7593
2026/3/1,14:30,7600,0,1756,2493,24,226,849,1828,173,670,201,3616,910,1297,0,-222,-1,-4282,22,7600
2026/3/1,15:00,7581,0,1656,2501,25,230,566,1884,173,669,201,3427,235,1266,0,-222,0,-4046,18,7581
2026/3/1,15:30,7720,0,2172,2910,26,270,0,1846,169,688,0,2578,0,1248,0,-222,1,-3986,20,7720
2026/3/1,16:00,7907,0,2472,3547,27,294,0,1879,162,722,0,1519,0,1205,0,0,8,-3950,22,7907
2026/3/1,16:30,8245,0,2818,4258,28,297,0,1855,164,759,0,590,0,1187,0,0,5,-3738,22,8245
2026/3/1,17:00,8621,0,3082,4973,30,298,0,1840,160,781,0,92,0,1159,0,132,-1,-3948,23,8621
2026/3/1,17:30,9306,0,3148,5774,32,300,0,1844,162,792,0,0,0,1217,0,224,3,-4212,22,9306
2026/3/1,18:00,9404,0,3412,6106,33,397,0,1848,162,797,0,0,0,1218,0,222,-3,-4812,24,9404
2026/3/1,18:30,9426,0,3278,6324,33,407,0,1852,161,791,0,0,0,1222,0,224,-1,-4884,19,9426
2026/3/1,19:00,9414,0,3302,6421,33,411,0,1847,162,794,0,0,0,1235,0,220,-1,-5030,20,9414
2026/3/1,19:30,9302,0,3132,6463,32,406,0,1847,160,796,0,0,0,1223,0,218,-1,-4994,20,9302
2026/3/1,20:00,9192,0,3068,6407,32,410,0,1842,163,799,0,0,0,1221,0,220,-1,-4988,19,9192
2026/3/1,20:30,9098,0,3008,6415,31,415,0,1840,160,799,0,0,0,1190,0,218,-1,-4994,17,9098
2026/3/1,21:00,8949,0,3226,6272,30,418,0,1793,159,800,0,0,0,1174,0,0,-2,-4940,19,8949
2026/3/1,21:30,8700,0,3128,6203,28,417,0,1784,161,802,0,0,0,1147,0,0,-1,-4980,11,8700
2026/3/1,22:00,8462,0,2698,6171,27,325,0,1745,160,801,0,0,0,1130,0,0,-3,-4610,18,8462
2026/3/1,22:30,8211,0,2442,5991,26,317,0,1746,160,803,0,0,0,1095,0,0,-2,-4382,15,8211
2026/3/1,23:00,8254,0,2506,6007,27,317,0,1712,162,805,0,0,0,1050,0,0,-2,-4340,10,8254
2026/3/1,23:30,8184,0,2636,6040,26,317,0,1711,159,807,0,0,0,993,0,0,-1,-4512,8,8184
2026/3/2,0:00,8104,0,2412,6074,25,314,0,1660,161,817,0,0,0,957,0,0,-2,-4320,6,8104
2026/3/2,0:30,8025,0,2138,6083,25,317,0,1664,159,819,0,0,0,935,0,0,-2,-4118,5,8025
2026/3/2,1:00,8166,0,2334,6096,24,313,0,1660,161,820,0,0,0,917,0,0,-1,-4164,6,8166
2026/3/2,1:30,8316,0,2490,6098,25,319,0,1661,162,820,0,0,0,911,0,0,-1,-4176,7,8316
2026/3/2,2:00,8449,0,2464,6145,26,319,0,1663,158,820,0,0,0,927,0,0,0,-4080,7,8449
2026/3/2,2:30,8627,0,2428,6179,27,311,0,1677,162,820,0,0,0,910,0,0,0,-3894,7,8627
2026/3/2,3:00,8741,0,2702,6189,28,317,0,1716,159,820,0,0,0,868,0,0,0,-4064,6,8741
2026/3/2,3:30,8778,0,2676,6189,29,314,0,1735,161,818,0,0,0,868,0,0,-2,-4016,6,8778
2026/3/2,4:00,9010,0,2426,6185,29,317,0,1776,160,820,0,0,0,847,0,0,1,-3556,5,9010
2026/3/2,4:30,9101,0,2508,6194,30,312,0,1773,162,819,0,0,0,805,0,0,0,-3508,6,9101
2026/3/2,5:00,9373,0,2928,6188,31,313,0,1788,161,818,0,0,0,799,0,0,-1,-3660,8,9373
2026/3/2,5:30,9582,0,3288,6128,31,312,0,1800,160,820,0,0,0,779,0,0,0,-3746,10,9582
2026/3/2,6:00,9947,0,3608,6002,32,309,0,1806,161,820,0,48,0,726,0,0,2,-3578,11,9947
2026/3/2,6:30,10093,0,3548,5823,33,312,0,1816,160,821,0,479,0,709,0,0,-9,-3618,19,10093
2026/3/2,7:00,9923,0,3710,5275,32,309,0,1883,162,825,0,1346,0,713,0,0,3,-4362,27,9923
2026/3/2,7:30,10141,0,3590,4796,33,307,0,1911,167,833,0,2515,0,716,0,0,-5,-4744,22,10141
2026/3/2,8:00,10383,0,3510,4146,33,303,0,2000,168,852,0,3666,0,766,0,0,-4,-5078,21,10383
2026/3/2,8:30,10630,0,3090,3676,32,304,0,2035,175,860,0,4753,0,767,0,0,2,-5082,18,10630
2026/3/2,9:00,10764,0,2976,3086,30,304,0,2020,174,860,0,5668,0,741,0,0,-7,-5108,20,10764
2026/3/2,9:30,10650,0,3178,2672,29,268,0,1996,176,840,0,5939,510,640,0,48,-1,-5158,23,10650
2026/3/2,10:00,10453,0,3368,2377,28,234,1122,1831,165,793,0,6447,555,654,0,2,-2,-5466,22,10453
2026/3/2,10:30,10381,0,2988,2355,27,228,999,1821,166,750,0,6768,563,701,0,56,6,-5504,19,10381
2026/3/2,11:00,10212,0,3032,2212,27,225,1339,1801,166,672,0,6931,579,592,0,0,-6,-5456,16,10212
2026/3/2,11:30,10101,0,2886,2214,26,234,1343,1763,162,626,190,7075,589,577,0,0,-2,-5480,20,10101
2026/3/2,12:00,9515,0,2014,2208,26,242,1216,1776,168,635,190,6856,588,586,0,0,-32,-4982,18,9515
2026/3/2,12:30,9534,0,2248,2278,25,241,1248,1807,166,648,190,6566,572,557,0,0,29,-5042,11,9534
2026/3/2,13:00,9756,0,2392,2674,25,242,960,1873,175,664,190,6651,0,532,0,112,-39,-5564,19,9756
2026/3/2,13:30,9829,0,2450,3003,26,240,1056,1918,180,725,0,6270,0,522,0,2,-29,-5490,12,9829
2026/3/2,14:00,9714,0,2248,3426,25,314,194,1947,182,807,0,5548,0,528,0,0,-8,-5320,17,9714
2026/3/2,14:30,9660,0,2686,3807,28,347,194,1967,181,848,0,4439,0,542,0,0,7,-5206,14,9660
2026/3/2,15:00,9628,0,3052,4208,28,348,0,1965,180,852,0,3342,0,555,0,0,-3,-4916,17,9628
2026/3/2,15:30,9723,0,3486,4561,29,367,0,1943,170,832,0,2336,0,544,0,0,-2,-4560,17,9723
2026/3/2,16:00,9913,0,3916,4934,31,454,0,1945,165,808,0,1338,0,540,0,0,0,-4238,20,9913
2026/3/2,16:30,10061,0,4322,5275,32,429,0,1938,164,810,0,535,0,530,0,0,-2,-3986,14,10061
2026/3/2,17:00,10144,0,4110,5525,33,443,0,1940,165,812,0,86,0,549,0,0,0,-3540,21,10144
2026/3/2,17:30,10504,0,4466,5582,35,440,0,1937,163,814,0,0,0,541,0,0,-3,-3490,19,10504
2026/3/2,18:00,10566,0,4678,5546,36,438,0,1947,164,810,0,0,0,502,0,0,-3,-3576,24,10566
2026/3/2,18:30,10524,0,4776,5505,36,417,0,1940,163,805,0,0,0,453,0,0,0,-3590,19,10524
2026/3/2,19:00,10371,0,4614,5507,35,408,0,1951,165,806,0,0,0,409,0,0,-1,-3542,19,10371
2026/3/2,19:30,10231,0,4390,5504,34,413,0,1945,163,808,0,0,0,399,0,0,-2,-3438,15,10231
2026/3/2,20:00,10062,0,4130,5484,34,407,0,1935,165,810,0,0,0,392,0,0,3,-3318,20,10062
2026/3/2,20:30,9917,0,4000,5454,33,410,0,1929,162,811,0,0,0,359,0,0,34,-3292,17,9917
2026/3/2,21:00,9664,0,3744,5443,32,413,0,1891,167,810,0,0,0,299,0,0,26,-3176,15,9664
2026/3/2,21:30,9479,0,3758,5424,30,403,0,1883,162,806,0,0,0,246,0,0,-2,-3242,11,9479
2026/3/2,22:00,9108,0,3398,5319,28,310,0,1850,165,808,0,0,0,203,0,0,-2,-2988,17,9108
2026/3/2,22:30,8883,0,3202,5303,27,298,0,1851,163,812,0,0,0,184,0,0,-4,-2968,15,8883
2026/3/2,23:00,8842,0,3136,5309,28,298,0,1837,165,813,0,0,0,161,0,0,-1,-2914,10,8842
2026/3/2,23:30,8658,0,2830,5311,27,300,0,1832,165,814,0,0,0,203,0,0,-3,-2828,7,8658
2026/3/3,0:00,8515,0,2832,5310,25,300,0,1799,165,811,0,0,0,291,0,0,-1,-3022,5,8515
2026/3/3,0:30,8497,0,2840,5312,25,301,0,1795,163,812,0,0,0,354,0,0,-2,-3108,5,8497
2026/3/3,1:00,8689,0,3036,5316,25,297,0,1792,164,812,0,0,0,368,0,0,-2,-3124,5,8689
2026/3/3,1:30,8812,0,3160,5310,25,300,0,1799,165,813,0,0,0,366,0,0,-2,-3130,6,8812
2026/3/3,2:00,8948,0,3062,5313,25,301,0,1790,164,816,0,0,0,410,0,0,-1,-2938,6,8948
2026/3/3,2:30,9045,0,2934,5309,27,297,0,1793,164,812,0,0,0,418,0,0,-1,-2714,6,9045
2026/3/3,3:00,9164,0,2790,5322,27,296,0,1791,164,814,0,0,0,416,0,0,-3,-2458,5,9164
2026/3/3,3:30,9333,0,3028,5337,27,298,0,1807,163,812,0,0,0,406,0,0,-2,-2548,5,9333
2026/3/3,4:00,9415,0,3236,5349,29,299,0,1847,166,808,0,0,0,394,0,0,-3,-2716,6,9415
2026/3/3,4:30,9496,0,3314,5313,29,298,0,1855,164,813,0,0,0,416,0,0,-1,-2710,5,9496
2026/3/3,5:00,9783,0,3752,5375,30,295,0,1917,164,811,0,0,0,416,0,0,0,-2986,9,9783
2026/3/3,5:30,9950,0,3898,5441,30,295,0,1914,165,814,0,0,0,496,0,0,-1,-3112,10,9950
2026/3/3,6:00,10232,0,3874,5448,30,294,0,1912,166,813,0,39,0,574,0,0,-1,-2928,11,10232
2026/3/3,6:30,10415,0,4126,5465,32,300,0,1929,166,826,0,232,0,618,0,0,-4,-3296,21,10415
2026/3/3,7:00,10315,0,3764,5472,31,304,0,1936,166,844,0,544,0,595,0,0,-1,-3366,26,10315
2026/3/3,7:30,10574,0,3782,5447,33,335,0,1976,171,856,0,860,0,591,0,0,-2,-3498,23,10574
2026/3/3,8:00,11098,0,4318,5449,35,409,0,1987,172,853,0,1072,0,631,0,0,-2,-3846,20,11098
2026/3/3,8:30,11617,0,4962,5453,36,429,0,1989,173,854,0,1213,0,673,0,0,-4,-4178,17,11617
2026/3/3,9:00,11737,0,5070,5497,36,431,0,2004,173,849,0,1290,0,766,0,12,0,-4410,19,11737
2026/3/3,9:30,11703,0,4930,5575,35,431,0,1987,175,843,0,1361,0,820,0,38,-2,-4512,22,11703
2026/3/3,10:00,11527,0,4574,5597,35,413,0,1946,173,854,0,1449,0,852,0,12,-2,-4398,22,11527
