単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20260501,0:30,7292,4158,184,1100,76,448,0,498,160,670,0,0,0,152,0,166,-14,620,314,7292
20260501,1:00,7042,4160,190,1076,72,456,0,496,158,660,0,0,0,188,0,0,0,732,318,7042
20260501,1:30,6934,4154,190,1150,72,414,0,512,160,672,0,0,0,230,0,-268,-8,660,316,6934
20260501,2:00,6988,4158,194,1118,64,396,0,514,160,658,0,0,0,278,0,-280,2,592,318,6988
20260501,2:30,7070,4156,218,1132,70,378,0,518,160,672,0,0,0,408,0,-56,-16,888,318,7070
20260501,3:00,7324,4156,176,1150,70,398,0,514,158,658,0,0,0,442,0,2,-12,704,316,7324
20260501,3:30,7572,4158,194,1306,70,388,0,562,160,678,0,0,0,448,0,282,2,992,316,7572
20260501,4:00,7822,4152,262,1354,70,414,0,896,158,660,0,0,0,480,0,348,0,1296,324,7822
20260501,4:30,8042,4156,308,1270,74,390,0,974,158,678,0,0,0,494,0,480,16,1280,324,8042
20260501,5:00,8152,4162,342,1228,72,398,0,980,162,664,0,0,0,476,0,724,14,1400,330,8152
20260501,5:30,8300,4154,338,1204,78,368,0,1020,160,678,0,3,0,465,0,960,12,1464,324,8300
20260501,6:00,8104,4156,324,1074,78,376,0,978,160,660,0,17,0,419,0,896,10,1364,320,8104
20260501,6:30,7924,4158,268,914,80,358,0,940,160,656,0,257,0,455,0,734,-10,1364,318,7924
20260501,7:00,7730,4160,260,796,78,386,0,734,162,594,0,759,0,467,0,296,-18,1260,316,7730
20260501,7:30,7718,4154,266,728,78,354,0,650,160,542,0,1623,50,375,116,108,-14,1624,318,7718
20260501,8:00,7852,4160,280,576,72,368,0,584,162,526,0,2161,571,265,269,-114,-8,1496,316,7852
20260501,8:30,8054,4158,288,476,74,334,0,518,160,526,0,2650,1197,234,277,-198,14,1496,316,8054
20260501,9:00,8274,4150,212,474,70,310,0,470,164,516,0,3286,1965,234,268,-288,-22,1616,314,8274
20260501,9:30,8460,4160,230,474,72,286,0,446,162,522,0,3961,2831,231,273,-726,10,1680,312,8460
20260501,10:00,8524,4158,234,478,68,302,0,428,160,516,0,4167,3756,235,283,-856,-6,1672,312,8524
20260501,10:30,8522,4154,226,474,68,264,0,402,162,520,0,4195,4332,227,276,-820,6,1668,312,8522
20260501,11:00,8500,4160,206,474,66,274,0,392,158,516,0,4565,4061,219,263,-1076,-16,1748,310,8500
20260501,11:30,8540,4156,220,474,66,270,0,398,162,520,0,4795,4067,229,256,-1306,-6,1748,310,8540
20260501,12:00,8448,4158,192,478,64,270,0,396,158,520,0,4809,3827,223,279,-1402,-10,1720,312,8448
20260501,12:30,8386,4150,182,476,64,264,0,404,160,530,0,4853,3326,229,292,-1576,-4,1656,310,8386
20260501,13:00,8220,4160,212,476,62,286,0,400,158,518,0,4479,2543,215,313,-1372,22,1708,312,8220
20260501,13:30,8552,4154,190,478,62,272,0,410,160,526,0,4819,1961,177,340,-1308,14,1712,310,8552
20260501,14:00,8440,4152,168,476,62,286,0,410,158,518,0,4927,1624,183,360,-1314,-14,1884,312,8440
20260501,14:30,8482,4156,168,476,62,278,0,420,162,524,0,5233,1011,229,344,-1770,6,1772,310,8482
20260501,15:00,8536,4156,120,476,64,284,0,408,158,520,0,5655,552,247,337,-2006,-6,1852,312,8536
20260501,15:30,8392,4154,124,476,66,268,0,446,160,530,0,5565,545,251,319,-2120,-2,1836,310,8392
20260501,16:00,8154,4160,140,480,66,304,0,460,160,516,0,5159,471,279,276,-2034,-24,1824,312,8154
20260501,16:30,8144,4156,144,476,70,336,0,540,160,534,0,4654,135,340,141,-1890,-10,1676,310,8144
20260501,17:00,8326,4162,172,574,74,398,0,618,160,518,0,3746,105,350,127,-1144,-24,1588,310,8326
20260501,17:30,8298,4156,188,738,82,378,0,654,160,584,0,2642,0,436,0,-306,-2,1724,312,8298
20260501,18:00,8270,4158,254,960,82,420,0,764,160,642,0,1582,0,478,0,110,-2,1668,330,8270
20260501,18:30,8296,4158,190,1196,90,398,0,958,162,674,0,702,0,460,0,772,14,1824,346,8296
20260501,19:00,8262,4152,200,1382,88,416,0,992,158,662,0,100,0,436,0,1238,16,1928,350,8262
20260501,19:30,8476,4156,206,1304,96,394,0,1018,160,678,0,38,0,444,0,1542,-10,1900,350,8476
20260501,20:00,8422,4154,216,1206,94,420,0,1018,160,660,0,0,0,456,0,1526,16,1856,352,8422
20260501,20:30,8232,4152,228,1166,92,400,0,1008,160,672,0,0,0,456,0,1370,10,1832,350,8232
20260501,21:00,8106,4156,222,1068,90,418,0,966,160,658,0,0,0,450,0,1354,10,1788,342,8106
20260501,21:30,8002,4154,212,1058,88,398,0,964,160,674,0,0,0,428,0,1172,4,1648,338,8002
20260501,22:00,7788,4158,234,1020,86,418,0,830,160,664,0,0,0,426,0,1220,-2,1752,326,7788
20260501,22:30,7668,4158,280,778,84,398,0,726,160,672,0,0,0,430,0,1292,2,1632,320,7668
20260501,23:00,7528,4156,254,798,76,416,0,628,160,666,0,0,0,392,0,928,4,1268,318,7528
20260501,23:30,7414,4160,272,910,78,406,0,608,160,670,0,0,0,374,0,600,6,1144,314,7414
20260501,24:00:00,7244,4154,230,814,72,408,0,522,160,668,0,0,0,344,0,-218,-16,208,314,7244
20260502,0:30,6966,4158,216,680,72,378,0,462,160,676,0,0,0,324,0,-288,-16,176,320,6966
20260502,1:00,6586,4156,196,658,70,386,0,444,160,666,0,0,0,302,0,-274,-4,496,322,6586
20260502,1:30,6486,4156,186,706,68,372,0,494,162,674,0,0,0,254,0,-254,-8,644,320,6486
20260502,2:00,6578,4154,180,754,66,404,0,520,160,660,0,0,0,230,0,-294,-6,572,322,6578
20260502,2:30,6714,4154,244,868,68,370,0,554,160,678,0,0,0,210,0,-270,-2,640,320,6714
20260502,3:00,6864,4158,218,942,68,400,0,620,162,664,0,0,0,208,0,-192,-10,696,322,6864
20260502,3:30,7176,4152,218,1064,68,376,0,916,160,672,0,0,0,220,0,72,-6,1056,320,7176
20260502,4:00,7498,4154,252,1126,68,388,0,954,162,670,0,0,0,196,0,474,10,1284,328,7498
20260502,4:30,7744,4156,236,1092,72,366,0,968,162,676,0,0,0,202,0,734,12,1268,336,7744
20260502,5:00,7828,4152,238,964,72,394,0,964,160,664,0,0,0,186,0,750,2,1052,334,7828
20260502,5:30,7864,4154,232,870,76,374,0,994,162,676,0,1,0,171,0,1108,6,1288,328,7864
20260502,6:00,7672,4156,178,796,72,398,0,1006,160,662,0,37,0,173,0,956,-6,1240,324,7672
20260502,6:30,7464,4154,192,622,76,382,0,946,160,674,0,543,0,97,0,260,-6,960,324,7464
20260502,7:00,7106,4156,194,546,70,404,0,694,162,646,0,1335,0,65,0,-404,-18,1064,320,7106
20260502,7:30,7138,4152,246,538,72,374,0,524,160,596,0,2621,0,43,26,-1058,-20,1432,322,7138
20260502,8:00,7030,4156,276,604,68,378,0,466,162,528,102.3,2847,977,31,33,-1402,10,1416,322,7030
