単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20250201,0:30,9866,4152,886,4952,88,302,180,164,718,0,0,70,0,-236,0,1608,198,9866
20250201,1:00,9522,4154,844,4864,88,324,176,162,710,0,0,82,0,-318,0,1760,196,9522
20250201,1:30,9484,4150,870,4810,86,294,184,164,726,0,0,92,0,-288,0,1800,196,9484
20250201,2:00,9502,4152,810,4922,82,326,186,162,698,0,0,94,0,-290,0,1836,196,9502
20250201,2:30,9642,4154,854,5066,84,296,200,164,722,0,0,104,0,-298,0,1900,196,9642
20250201,3:00,9790,4152,828,5102,86,326,214,162,708,0,0,104,0,-24,0,2064,196,9790
20250201,3:30,10070,4152,892,5170,86,302,220,164,720,0,0,120,0,122,0,2072,194,10070
20250201,4:00,10132,4150,882,5202,82,320,288,162,706,0,0,130,0,118,0,2104,196,10132
20250201,4:30,10156,4154,856,5198,88,292,332,164,724,0,0,130,0,118,0,2096,196,10156
20250201,5:00,10160,4146,824,5208,90,320,336,162,700,0,0,132,0,118,0,2072,196,10160
20250201,5:30,10230,4156,852,5190,92,318,310,164,722,0,0,150,0,136,0,2056,196,10230
20250201,6:00,10124,4154,832,5156,92,348,252,162,702,0,0,154,0,116,0,2040,196,10124
20250201,6:30,10040,4148,894,5002,94,318,248,164,720,0,0,156,0,120,0,2020,196,10040
20250201,7:00,10134,4154,890,5056,100,384,246,162,708,0,0,160,0,122,0,2044,196,10134
20250201,7:30,10384,4154,1018,5122,104,354,198,164,720,0,0,184,0,140,0,1968,194,10384
20250201,8:00,10652,4152,1048,5316,110,384,172,162,700,56,0,202,0,118,0,1960,192,10652
20250201,8:30,10866,4154,1054,5188,114,356,258,164,716,315,0,209,0,126,0,1976,188,10866
20250201,9:00,11210,4150,1086,5264,110,354,280,162,700,513,0,217,0,118,0,1932,188,11210
20250201,9:30,11514,4156,1212,5596,114,300,304,164,718,413,0,227,0,118,0,1996,188,11514
20250201,10:00,11564,4150,1150,5544,116,304,202,162,704,305,0,245,0,112,0,1616,186,11564
20250201,10:30,11522,4160,1228,5298,114,274,156,164,720,351,0,251,0,120,0,1500,186,11522
20250201,11:00,11530,4154,1160,5132,108,304,154,162,700,425,0,269,0,118,0,1344,188,11530
20250201,11:30,11452,4150,1180,4982,112,276,166,164,720,463,0,293,0,124,0,1364,186,11452
20250201,12:00,11554,4154,1184,5304,114,302,172,162,700,363,0,325,0,120,0,1532,186,11554
20250201,12:30,11450,4156,1168,5662,108,296,168,164,714,289,0,335,0,124,0,1920,186,11450
20250201,13:00,11342,4150,1076,5742,108,322,152,162,696,265,0,349,0,120,0,1988,188,11342
20250201,13:30,11464,4154,1140,5748,104,298,156,162,708,241,0,335,0,124,0,1892,186,11464
20250201,14:00,11394,4150,1040,5708,106,320,172,162,696,139,0,309,0,116,0,1712,188,11394
20250201,14:30,11322,4156,1000,5696,106,300,206,162,712,153,0,277,0,120,0,1752,186,11322
20250201,15:00,11220,4154,1028,5742,108,320,220,160,702,179,0,229,0,120,0,1928,186,11220
20250201,15:30,11126,4150,1002,5664,106,304,216,162,714,237,0,225,0,120,0,1960,186,11126
20250201,16:00,11126,4154,976,5498,114,308,440,160,702,235,0,191,0,118,0,1956,186,11126
20250201,16:30,11258,4156,824,5718,114,304,552,160,716,182,0,182,0,118,0,1956,188,11258
20250201,17:00,11404,4150,788,5558,110,342,594,160,702,146,0,184,0,118,0,1640,192,11404
20250201,17:30,11604,4148,922,5694,114,324,604,162,716,94,0,180,0,120,0,1672,198,11604
20250201,18:00,11760,4150,964,5748,118,346,620,160,702,0,0,178,0,118,0,1544,200,11760
20250201,18:30,11902,4144,1168,5462,122,326,630,162,716,0,0,180,0,236,0,1444,200,11902
20250201,19:00,11876,4144,1210,5306,120,348,532,160,708,0,0,194,0,418,0,1464,200,11876
20250201,19:30,11762,4152,1172,5314,120,320,522,162,722,0,0,184,0,448,0,1552,198,11762
20250201,20:00,11552,4148,1168,5312,114,348,380,160,704,0,0,160,0,334,0,1472,196,11552
20250201,20:30,11340,4146,1220,5266,116,328,320,162,720,0,0,154,0,302,0,1592,198,11340
20250201,21:00,11160,4152,1194,5154,110,350,314,162,706,0,0,138,0,304,0,1620,196,11160
20250201,21:30,10874,4152,1190,5136,108,316,314,164,718,0,0,138,0,306,0,1864,196,10874
20250201,22:00,10518,4146,966,5132,104,356,362,160,696,0,0,132,0,120,0,1852,196,10518
20250201,22:30,10312,4154,912,5138,100,306,370,164,718,0,0,140,0,122,0,2008,196,10312
20250201,23:00,9962,4152,802,4798,94,320,362,160,702,0,0,140,0,118,0,1880,194,9962
20250201,23:30,9864,4154,804,4868,92,282,366,164,720,0,0,146,0,128,0,2056,196,9864
20250201,24:00:00,9514,4148,698,4512,84,310,362,162,698,0,0,138,0,118,0,1912,196,9514
20250202,0:30,9298,4154,850,4074,84,286,288,164,718,0,0,128,0,136,0,1776,192,9298
20250202,1:00,8974,4150,836,3548,82,306,274,160,702,0,0,114,0,116,0,1504,190,8974
20250202,1:30,8916,4150,774,3748,80,286,276,164,718,0,0,112,0,122,0,1704,190,8916
20250202,2:00,8960,4152,750,3680,76,322,270,162,702,0,0,102,0,120,0,1568,192,8960
20250202,2:30,9156,4150,752,3936,78,300,284,164,720,0,0,110,0,136,0,1664,190,9156
20250202,3:00,9342,4154,736,3976,78,336,276,162,702,0,0,112,0,122,0,1504,192,9342
20250202,3:30,9508,4148,692,4750,80,310,286,164,718,0,0,122,0,120,0,2072,190,9508
20250202,4:00,9640,4154,704,4910,80,324,312,162,704,0,0,128,0,114,0,2144,192,9640
20250202,4:30,9726,4152,760,4844,82,302,374,164,720,0,0,120,0,124,0,2108,192,9726
20250202,5:00,9718,4150,712,4838,84,338,386,162,698,0,0,108,0,118,0,2068,192,9718
20250202,5:30,9670,4150,774,4750,86,300,334,164,716,0,0,128,0,124,0,2048,192,9670
20250202,6:00,9510,4152,724,4684,84,320,274,162,700,0,0,122,0,120,0,2024,192,9510
20250202,6:30,9318,4158,760,4154,86,300,256,160,690,0,0,126,0,120,0,1680,188,9318
20250202,7:00,9318,4152,768,4042,92,292,276,164,722,0,0,144,0,114,0,1640,192,9318
20250202,7:30,9458,4156,856,4052,96,292,342,164,720,0,0,130,0,114,0,1656,192,9458
20250202,8:00,9650,4152,846,4216,98,310,448,162,700,54,0,116,0,120,0,1760,188,9650
20250202,8:30,9740,4154,758,4192,100,288,602,164,714,292,0,140,0,220,0,2072,188,9740
20250202,9:00,9800,4154,806,3918,98,308,716,162,696,694,0,160,0,136,0,2232,184,9800
20250202,9:30,9906,4158,608,3728,98,288,752,164,718,1440,0,162,0,-180,0,2216,186,9906
20250202,10:00,9678,4154,564,3404,92,312,616,162,696,2338,0,168,0,-696,0,2320,188,9678
20250202,10:30,9570,4156,598,2958,88,296,352,164,710,3204,0,142,0,-1140,0,2144,186,9570
20250202,11:00,9172,4152,740,2390,90,302,258,162,690,3328,0,72,0,-1112,0,2088,188,9172
20250202,11:30,9456,4154,958,2564,88,262,258,164,698,2958,0,52,0,-894,0,1992,186,9456
20250202,12:00,9098,4156,700,2564,80,262,256,162,668,2990,0,56,0,-862,0,2120,186,9098
20250202,12:30,9226,4152,622,2462,76,232,256,164,608,3612,0,86,0,-1110,0,2120,186,9226
20250202,13:00,9244,4152,618,2720,78,230,260,162,522,3674,0,98,0,-1424,0,2032,186,9244
20250202,13:30,8998,4154,592,2836,80,204,252,164,542,3514,0,108,0,-1618,0,2016,186,8998
