単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20250701,0:30,9806,4110,574,4092,108,582,534,146,680,0,0,2,0,0,-38,1280,296,9806
20250701,1:00,9382,4110,442,3964,102,584,516,144,670,0,0,0,0,0,-38,1408,296,9382
20250701,1:30,9136,4110,444,3822,102,576,502,146,676,0,0,0,0,0,-34,1504,296,9136
20250701,2:00,8970,4110,438,3790,96,576,496,144,676,0,0,0,0,0,-36,1616,296,8970
20250701,2:30,8990,4108,430,3430,96,568,510,146,684,0,0,0,0,0,-38,1240,296,8990
20250701,3:00,8920,4110,412,3046,92,582,520,144,672,0,0,0,0,0,-10,944,296,8920
20250701,3:30,8984,4110,406,3056,94,558,636,146,682,0,0,2,0,0,14,1016,296,8984
20250701,4:00,9066,4108,464,3034,96,590,696,144,666,0,0,4,0,0,26,1056,294,9066
20250701,4:30,9198,4104,422,3580,96,562,782,148,682,0,0,4,0,0,26,1504,296,9198
20250701,5:00,9482,4100,444,3862,98,606,796,144,662,0,0,2,0,0,24,1552,296,9482
20250701,5:30,9692,4102,578,3914,100,580,774,148,684,2,0,2,0,0,32,1520,296,9692
20250701,6:00,9638,4100,506,3832,102,604,724,146,666,122,0,2,0,0,-14,1448,296,9638
20250701,6:30,9810,4108,608,3482,104,582,668,148,680,522,0,2,0,0,-34,1356,296,9810
20250701,7:00,9708,4106,426,3070,106,606,596,144,668,1060,0,2,0,-282,-26,1064,296,9708
20250701,7:30,10034,4112,498,3022,116,612,574,148,674,1782,0,2,0,-436,-22,1344,296,10034
20250701,8:00,10492,4112,540,2880,118,644,564,146,668,2638,0,0,0,-822,-36,1256,296,10492
20250701,8:30,11442,4120,650,3174,132,592,494,146,670,3696,0,2,0,-1066,-26,1436,294,11442
20250701,9:00,12078,4120,740,3284,138,536,482,142,664,4578,0,0,0,-916,-20,1964,294,12078
20250701,9:30,12736,4118,706,3282,140,490,462,144,666,5440,0,2,0,-852,12,2168,294,12736
20250701,10:00,13488,4118,684,3046,138,458,444,144,660,6520,0,0,0,-1102,38,1952,292,13488
20250701,10:30,13904,4120,702,2786,140,464,424,144,666,7316,0,2,0,-1378,18,1792,292,13904
20250701,11:00,14004,4116,692,2652,140,450,416,142,660,7698,0,0,0,-1460,30,1824,292,14004
20250701,11:30,14252,4122,716,2930,142,456,408,142,670,8124,0,2,0,-1648,40,2144,292,14252
20250701,12:00,14354,4114,710,2948,140,468,412,140,662,8262,0,0,0,-1400,6,2400,292,14354
20250701,12:30,14232,4118,664,2866,144,450,408,144,664,8258,0,2,0,-1626,-28,2124,292,14232
20250701,13:00,14086,4106,736,2866,142,464,402,140,660,8130,0,2,0,-1660,0,2196,294,14086
20250701,13:30,14380,4114,804,2894,146,450,408,144,662,7980,0,4,0,-1170,0,2348,292,14380
20250701,14:00,14630,4104,838,2892,146,468,410,140,656,7732,0,2,0,-808,-8,2236,294,14630
20250701,14:30,14696,4108,912,2880,148,474,410,144,664,7354,0,2,0,-548,-18,2128,294,14696
20250701,15:00,14672,4106,1034,2982,146,554,406,140,656,6840,0,0,0,-272,-14,2200,294,14672
20250701,15:30,14664,4106,1230,3642,152,606,414,144,668,6148,0,2,0,-46,-34,2660,292,14664
20250701,16:00,14762,4108,1498,3788,154,684,452,140,656,5302,0,2,0,2,-26,2292,294,14762
20250701,16:30,14764,4100,1794,4122,160,666,560,144,674,4464,0,2,0,108,-12,2312,294,14764
20250701,17:00,14720,4090,2380,4136,164,690,840,140,660,3504,0,0,0,470,-20,2628,294,14720
20250701,17:30,14590,4100,2660,4138,164,680,978,144,672,2602,0,0,0,486,-38,2292,296,14590
20250701,18:00,14350,4086,2828,4134,164,704,1024,140,660,1760,0,0,0,820,-26,2240,296,14350
20250701,18:30,14218,4098,2650,4138,168,682,1042,144,676,1050,0,2,0,1112,24,1868,300,14218
20250701,19:00,14000,4096,2396,4132,168,704,1052,142,662,480,0,0,0,1340,28,1500,300,14000
20250701,19:30,13724,4116,2800,4140,164,684,1026,144,672,110,0,2,0,1666,28,2128,300,13724
20250701,20:00,13462,4116,2886,4138,160,694,962,142,658,0,0,2,0,1414,24,2036,302,13462
20250701,20:30,13116,4122,2742,4138,156,692,926,144,670,0,0,2,0,1346,24,2144,298,13116
20250701,21:00,12796,4122,2778,4138,152,700,754,142,656,0,0,2,0,1208,14,2168,298,12796
20250701,21:30,12318,4120,2678,4138,144,694,682,144,664,0,0,0,0,988,2,2232,296,12318
20250701,22:00,11912,4122,2360,4136,136,692,640,144,666,0,0,0,0,678,0,1960,298,11912
20250701,22:30,11674,4122,2792,4140,130,684,564,144,664,0,0,0,0,418,0,2280,296,11674
20250701,23:00,11270,4116,2430,4140,122,686,516,144,670,0,0,0,0,64,10,1924,296,11270
20250701,23:30,10922,4122,1844,4130,118,658,480,144,672,0,0,0,0,0,-14,1528,296,10922
20250701,24:00:00,10484,4112,1120,4022,110,658,478,144,660,0,0,0,0,0,-8,1108,296,10484
20250702,0:30,10000,4114,1150,4040,106,634,464,144,672,0,0,2,0,0,-26,1596,296,10000
20250702,1:00,9548,4114,958,3978,102,646,456,144,668,0,0,0,0,0,-34,1780,296,9548
20250702,1:30,9198,4112,764,3976,100,614,462,144,674,0,0,2,0,0,-34,1912,296,9198
20250702,2:00,9038,4110,686,3832,94,622,456,144,664,0,0,4,0,0,-34,1836,296,9038
20250702,2:30,8920,4104,504,3786,94,606,470,146,674,0,0,2,0,0,-14,1748,296,8920
20250702,3:00,9062,4110,566,3962,92,622,478,142,664,0,0,2,0,0,0,1872,296,9062
20250702,3:30,9114,4100,530,3808,94,600,618,144,674,0,0,0,0,0,10,1760,296,9114
20250702,4:00,9224,4104,512,3780,94,610,676,144,668,0,0,0,0,0,32,1692,296,9224
20250702,4:30,9284,4098,504,3880,94,600,724,146,678,0,0,0,0,0,20,1756,296,9284
20250702,5:00,9578,4096,536,3996,94,616,738,142,668,0,0,0,0,0,18,1624,298,9578
20250702,5:30,9754,4094,518,4024,100,624,740,146,678,0,0,0,0,0,6,1472,296,9754
20250702,6:00,9754,4098,554,4056,98,628,704,148,666,100,0,2,0,0,26,1624,298,9754
20250702,6:30,9768,4096,550,3980,106,622,674,128,676,494,0,2,0,0,-26,1828,294,9768
20250702,7:00,9878,4102,532,3738,106,638,538,116,668,1042,0,2,0,0,-32,1864,292,9878
20250702,7:30,10286,4104,514,3802,114,630,462,114,676,1820,0,0,0,-50,-36,2156,292,10286
20250702,8:00,10750,4106,546,3718,116,642,428,114,656,2690,0,0,0,-434,-28,2096,292,10750
20250702,8:30,11540,4110,694,3798,130,614,400,116,668,3678,0,0,0,-550,-26,2384,292,11540
20250702,9:00,12388,4104,690,3764,136,562,390,102,650,4642,0,0,0,-616,-38,2288,290,12388
20250702,9:30,13036,4110,666,3954,140,492,398,80,664,5576,0,0,0,-1016,10,2328,290,13036
20250702,10:00,13430,4056,882,3958,138,486,402,78,648,6364,0,0,0,-1358,40,2556,292,13430
20250702,10:30,13944,4030,712,3414,136,468,406,80,666,7250,0,2,0,-1468,32,2076,292,13944
20250702,11:00,14136,4028,728,3128,136,488,400,78,654,7770,0,0,0,-1398,12,2180,292,14136
20250702,11:30,14412,4032,742,3196,140,482,412,80,666,8100,0,0,0,-1602,-12,2116,292,14412
20250702,12:00,14576,4046,724,3056,140,482,414,76,652,8304,0,0,0,-1868,36,1780,294,14576
20250702,12:30,14376,4056,816,2710,144,474,394,80,670,8372,0,0,0,-2090,-22,1520,292,14376
20250702,13:00,14326,4072,880,2748,140,496,390,76,656,8408,0,0,0,-1944,38,1924,290,14326
20250702,13:30,14766,4088,822,3074,144,478,392,80,666,8164,0,0,0,-1898,-22,1512,290,14766
20250702,14:00,14792,4090,936,3226,142,516,392,76,656,7810,0,2,0,-1428,34,1952,292,14792
20250702,14:30,14904,4104,1052,3674,146,512,392,80,666,7376,0,2,0,-1126,8,2272,290,14904
20250702,15:00,14900,4106,1166,3836,148,540,386,76,654,6766,0,2,0,-846,2,2228,292,14900
20250702,15:30,15036,4108,1332,4020,150,536,394,80,668,6128,0,4,0,-430,-34,2212,292,15036
20250702,16:00,15094,4102,1646,4102,152,620,452,76,654,5296,0,2,0,34,-38,2296,292,15094
20250702,16:30,15006,4116,2178,4092,158,632,524,80,666,4190,0,2,0,430,-38,2316,292,15006
20250702,17:00,14850,4106,2356,4132,158,640,716,76,664,3114,0,2,0,966,-38,2336,294,14850
20250702,17:30,14598,4102,2422,4140,160,634,968,80,672,2216,0,2,0,1182,-36,2240,296,14598
20250702,18:00,14470,4108,2466,4136,164,656,1010,76,666,1488,0,2,0,1596,-38,2156,296,14470
20250702,18:30,14362,4098,2130,4142,166,670,1022,80,670,866,0,2,0,1574,26,1380,296,14362
20250702,19:00,14170,4098,2002,4132,168,692,1024,78,666,390,0,0,0,1616,0,992,296,14170
20250702,19:30,13962,4094,2234,4138,164,680,1016,80,670,90,0,2,0,1812,30,1344,296,13962
20250702,20:00,13660,4090,2146,4134,160,678,1008,80,664,0,0,0,0,1812,40,1448,296,13660
20250702,20:30,13258,4092,2354,4142,158,674,922,80,670,0,0,0,0,1690,30,1848,294,13258
20250702,21:00,13010,4088,2274,4148,148,690,712,80,662,0,0,0,0,1650,40,1776,294,13010
20250702,21:30,12470,4098,2158,4150,148,674,634,80,664,0,0,0,0,1648,2,2080,294,12470
20250702,22:00,12164,4098,1878,4152,134,676,620,80,654,0,0,0,0,1354,2,1776,292,12164
20250702,22:30,11850,4108,2204,4152,128,670,542,80,660,0,0,0,0,794,4,1784,292,11850
20250702,23:00,11464,4104,2248,4152,120,668,508,80,660,0,0,0,0,340,10,1720,294,11464
20250702,23:30,11134,4116,1758,4152,116,612,470,80,670,0,0,2,0,30,-4,1132,264,11134
20250702,24:00:00,10606,4114,1028,4152,108,594,458,80,662,0,0,4,0,0,-22,796,224,10606
20250703,0:30,10028,4116,944,4016,106,552,412,80,670,0,0,2,0,0,-24,1064,218,10028
20250703,1:00,9610,4118,872,4088,100,550,394,80,666,0,0,4,0,0,-32,1448,218,9610
20250703,1:30,9382,4118,794,4030,96,532,396,80,674,0,0,12,0,0,-32,1536,218,9382
20250703,2:00,9158,4106,704,4002,92,540,400,78,664,0,0,8,0,0,-34,1620,218,9158
20250703,2:30,9060,4112,744,3802,94,518,414,80,680,0,0,18,0,0,-24,1596,218,9060
20250703,3:00,9080,4104,772,3804,92,544,450,78,658,0,0,8,0,0,-26,1620,216,9080
20250703,3:30,9164,4110,758,3852,92,524,602,80,676,0,0,8,0,0,2,1756,216,9164
20250703,4:00,9260,4106,742,3818,94,540,652,78,656,0,0,2,0,0,34,1680,218,9260
20250703,4:30,9330,4098,702,3892,96,520,662,80,676,0,0,2,0,0,34,1648,216,9330
20250703,5:00,9580,4104,726,3908,94,548,660,78,654,0,0,0,0,0,30,1440,218,9580
20250703,5:30,9790,4096,808,3918,98,524,648,80,680,2,0,2,0,0,32,1316,218,9790
20250703,6:00,9730,4102,524,4062,100,554,620,78,662,116,0,0,0,0,-2,1304,218,9730
20250703,6:30,9784,4100,610,4062,104,530,562,80,678,516,0,0,0,0,-12,1684,238,9784
20250703,7:00,9992,4098,606,4036,110,544,500,80,664,1080,0,0,0,-202,-38,1768,282,9992
20250703,7:30,10348,4108,650,4098,112,522,454,80,672,1856,0,0,0,-746,-34,1716,292,10348
20250703,8:00,10804,4104,726,4080,114,538,412,78,664,2732,0,0,0,-1310,-36,1592,294,10804
20250703,8:30,11556,4106,956,4116,130,502,398,80,664,3636,0,0,0,-1358,-10,1952,288,11556
20250703,9:00,12532,4100,904,4136,136,458,396,78,652,4672,0,0,0,-1512,-38,1736,286,12532
20250703,9:30,13176,4108,858,4144,140,402,410,80,660,5598,0,0,0,-1456,-4,2048,284,13176
20250703,10:00,13674,4110,884,4068,140,410,408,78,646,6372,0,0,0,-1762,-2,1960,282,13674
20250703,10:30,14022,4102,916,3480,140,402,400,80,656,7054,0,0,0,-1878,-12,1600,282,14022
20250703,11:00,14290,4112,1152,3024,138,418,394,76,642,7500,0,0,0,-1498,40,1992,284,14290
20250703,11:30,14520,4112,1086,2960,144,398,396,80,652,7734,0,0,0,-1416,36,1944,282,14520
20250703,12:00,14814,4110,974,2950,142,422,388,76,648,8056,0,0,0,-1398,36,1872,282,14814
