単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20240901,0:30,8392,3852,506,3868,100,118,958,156,534,0,0,26,0,0,-18,1904,196,8392
20240901,1:00,8112,3852,344,3792,94,130,944,156,518,0,0,22,0,-120,-6,1812,198,8112
20240901,1:30,7806,3852,368,3256,94,122,944,156,532,0,0,24,0,-252,-2,1484,196,7806
20240901,2:00,7640,3850,528,2858,92,132,946,156,518,0,0,24,0,-174,-6,1480,196,7640
20240901,2:30,7632,3854,572,2854,92,110,944,156,538,0,0,18,0,0,-6,1696,196,7632
20240901,3:00,7682,3854,598,2860,88,140,934,156,520,0,0,16,0,0,-8,1672,196,7682
20240901,3:30,7750,3858,608,2940,90,122,954,156,536,0,0,12,0,0,10,1732,196,7750
20240901,4:00,7842,3850,670,3028,86,128,952,156,524,0,0,16,0,0,-4,1760,196,7842
20240901,4:30,7930,3846,546,3178,90,122,954,156,536,0,0,12,0,0,-2,1704,196,7930
20240901,5:00,8100,3846,606,3142,90,128,950,156,528,0,0,12,0,0,6,1560,196,8100
20240901,5:30,8308,3846,624,3272,92,122,956,156,534,0,0,10,0,0,0,1500,196,8308
20240901,6:00,8244,3842,468,3006,92,132,964,156,524,0,0,14,0,0,-2,1148,196,8244
20240901,6:30,7978,3844,454,2790,94,120,998,156,532,102,0,14,0,0,-2,1320,196,7978
20240901,7:00,7862,3850,536,2230,94,156,1004,156,518,604,0,12,0,190,4,1688,196,7862
20240901,7:30,7978,3856,400,1796,98,142,988,156,532,1586,0,14,0,164,-2,1948,196,7978
20240901,8:00,8340,3854,438,1512,98,170,990,154,494,2804,0,10,0,-368,0,2012,196,8340
20240901,8:30,8772,3856,462,1364,100,124,986,154,486,4136,0,14,0,-1020,-34,2052,196,8772
