単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20260101,0:30,9088,4154,1138,2714,96,398,152,164,710,0,0,222,0,116,-34,932,190,9088
20260101,1:00,8982,4150,1216,3150,94,394,152,164,698,0,0,222,0,108,-30,1524,188,8982
20260101,1:30,8960,4152,1234,3222,90,372,152,164,704,0,0,222,0,140,-28,1652,188,8960
20260101,2:00,8974,4150,1230,3166,86,380,154,164,700,0,0,212,0,128,-34,1552,190,8974
20260101,2:30,9128,4150,1246,3138,90,352,160,164,706,0,0,196,0,158,-12,1408,188,9128
20260101,3:00,9300,4152,1240,3116,84,318,160,164,702,0,0,182,0,336,6,1352,192,9300
20260101,3:30,9470,4150,1302,3340,90,324,152,164,710,0,0,194,0,312,6,1464,190,9470
20260101,4:00,9548,4154,1310,3276,88,346,156,164,702,0,0,198,0,362,4,1400,188,9548
20260101,4:30,9602,4150,1316,3192,90,332,164,164,708,0,0,208,0,502,32,1444,188,9602
20260101,5:00,9574,4148,1300,3062,88,342,166,164,694,0,0,196,0,564,32,1372,190,9574
20260101,5:30,9576,4152,1298,3028,94,314,164,164,710,0,0,202,0,546,32,1316,188,9576
20260101,6:00,9390,4150,1182,2952,90,328,166,164,692,0,0,194,0,446,0,1164,190,9390
20260101,6:30,9232,4152,1074,2972,94,316,268,164,706,1,0,207,0,406,-26,1292,190,9232
20260101,7:00,9196,4150,990,2860,94,332,362,164,704,0,0,214,0,376,-30,1212,192,9196
20260101,7:30,9294,4154,1040,2790,100,304,464,164,704,8,0,196,0,418,-30,1208,190,9294
20260101,8:00,9382,4148,980,2678,106,288,608,164,696,128,0,186,0,384,-22,1152,190,9382
20260101,8:30,9576,4152,1080,2294,108,266,542,164,702,902,0,180,0,314,-30,1288,190,9576
20260101,9:00,9518,4152,980,1736,104,266,288,164,698,1919,0,161,0,232,-32,1340,190,9518
20260101,9:30,9146,4150,568,1376,104,250,188,164,702,2809,0,165,0,146,16,1680,188,9146
20260101,10:00,8992,4152,450,1056,104,248,158,162,682,3693,0,151,0,-638,-22,1392,188,8992
20260101,10:30,8702,4148,478,906,102,210,158,164,640,4719,0,159,0,-1490,24,1704,188,8702
20260101,11:00,8484,4156,414,890,94,230,156,164,570,5201,0,127,0,-1846,22,1880,186,8484
20260101,11:30,8586,4150,356,880,92,214,156,164,584,5605,0,127,0,-2086,18,1860,186,8586
20260101,12:00,8460,4146,770,770,94,230,156,162,568,4639,715,145,0,-1728,24,1704,188,8460
20260101,12:30,8584,4152,848,760,94,212,152,164,580,4409,499,145,0,-1432,22,1708,186,8584
20260101,13:00,8530,4150,828,840,94,222,150,162,572,3699,546,147,0,-864,18,1676,188,8530
20260101,13:30,8450,4152,832,1004,96,214,152,164,584,3339,98,145,0,-762,12,1668,186,8450
20260101,14:00,8368,4154,618,1114,94,236,150,162,566,2927,0,175,0,-650,-14,1352,188,8368
20260101,14:30,8342,4150,572,1104,98,210,152,164,582,2407,0,211,0,-1050,8,452,186,8342
20260101,15:00,8282,4158,708,1330,94,230,154,162,566,1749,0,213,0,-992,2,280,188,8282
20260101,15:30,8408,4146,720,1328,100,220,156,164,620,1233,0,235,0,-292,-18,392,188,8408
20260101,16:00,8452,4154,942,1522,98,262,156,162,680,803,0,235,0,-124,16,640,186,8452
20260101,16:30,8708,4158,962,1866,106,294,158,164,706,491,0,245,0,182,-18,796,190,8708
20260101,17:00,9080,4144,1172,3070,106,356,192,162,692,147,0,245,0,366,-10,1756,194,9080
20260101,17:30,9770,4152,1124,3262,116,364,236,164,706,35,0,269,0,340,-16,1180,198,9770
20260101,18:00,10044,4144,1054,3414,122,400,278,164,698,18,0,252,0,158,-24,832,198,10044
20260101,18:30,10132,4150,1266,3490,124,410,408,164,704,20,0,256,0,142,22,1224,200,10132
20260101,19:00,10220,4144,1360,3492,122,434,458,164,702,0,0,300,0,134,-24,1264,198,10220
20260101,19:30,10258,4150,1288,3494,124,424,424,164,706,0,0,306,0,140,-36,1124,198,10258
20260101,20:00,10270,4152,1284,3494,122,448,418,164,696,0,0,284,0,120,-32,1072,192,10270
20260101,20:30,10302,4150,1438,3496,122,396,342,164,708,0,0,272,0,192,14,1184,192,10302
20260101,21:00,10356,4148,1562,3492,120,394,212,164,702,0,0,316,0,200,32,1176,190,10356
20260101,21:30,10302,4150,1548,3492,118,370,260,164,706,0,0,328,0,148,28,1200,190,10302
20260101,22:00,10228,4156,1370,3494,116,382,288,164,694,0,0,324,0,122,-20,1052,190,10228
20260101,22:30,10090,4148,1128,3496,112,348,282,164,706,0,0,330,0,124,-22,916,190,10090
20260101,23:00,9874,4150,1070,3492,108,352,204,164,696,0,0,318,0,118,0,988,190,9874
20260101,23:30,9766,4156,1170,3494,104,340,168,164,706,0,0,316,0,118,-8,1152,190,9766
20260101,24:00:00,9508,4148,994,3444,98,352,152,164,696,0,0,326,0,116,-14,1160,192,9508
20260102,0:30,9258,4154,1004,3264,96,294,150,164,712,0,0,312,0,118,-24,1176,190,9258
20260102,1:00,8976,4148,924,3194,92,276,148,162,694,0,0,342,0,134,-22,1304,188,8976
20260102,1:30,8940,4154,896,3220,92,254,150,164,706,0,0,362,0,120,-18,1348,188,8940
20260102,2:00,9022,4152,824,3334,88,268,148,162,698,0,0,342,0,120,-8,1296,190,9022
20260102,2:30,9166,4152,888,3398,92,256,150,164,708,0,0,360,0,120,-14,1296,188,9166
20260102,3:00,9318,4154,796,3500,90,266,154,164,698,0,0,356,0,118,-10,1160,192,9318
20260102,3:30,9488,4146,952,3496,92,256,154,164,712,0,0,338,0,118,-10,1120,190,9488
20260102,4:00,9584,4158,1084,3494,92,264,156,164,698,0,0,300,0,116,24,1156,190,9584
20260102,4:30,9618,4150,1080,3498,92,250,162,164,710,0,0,310,0,118,32,1136,188,9618
20260102,5:00,9618,4156,994,3458,90,270,164,162,696,0,0,366,0,116,32,1076,190,9618
20260102,5:30,9628,4152,1016,3452,96,250,162,164,712,0,0,388,0,120,28,1100,188,9628
20260102,6:00,9472,4148,928,3426,96,270,162,162,698,0,0,382,0,116,6,1112,190,9472
20260102,6:30,9462,4154,960,3268,100,256,270,164,704,0,0,382,0,276,-24,1240,192,9462
20260102,7:00,9568,4150,962,3122,100,260,330,164,704,0,0,380,0,294,-26,1064,192,9568
