単位[MW平均],,,供給力(確報),,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力（ＬＮＧ）,火力（石炭）,火力（石油）,火力（その他）,水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
20241201,0:30,8382,3422,978,3486,82,86,326,156,718,0,0,54,0,90,4,1204,184,8382
20241201,1:00,8188,3434,866,3370,76,108,328,156,718,0,0,68,0,88,2,1212,186,8188
20241201,1:30,8084,3442,788,3414,76,88,330,156,726,0,0,60,0,90,-10,1260,184,8084
20241201,2:00,8180,3456,762,3528,76,118,334,156,710,0,0,62,0,90,-8,1288,184,8180
20241201,2:30,8340,3470,842,3594,74,96,358,156,722,0,0,66,0,92,-10,1304,184,8340
20241201,3:00,8552,3476,908,3624,74,110,366,156,710,0,0,62,0,92,-18,1192,184,8552
20241201,3:30,8870,3476,1184,3804,78,96,450,156,720,0,0,64,0,92,-14,1420,184,8870
20241201,4:00,9082,3486,1260,3840,76,110,460,156,714,0,0,64,0,88,-16,1340,184,9082
20241201,4:30,9264,3488,1398,3838,80,98,508,156,720,0,0,70,0,120,0,1396,184,9264
20241201,5:00,9286,3484,1332,3840,84,110,510,156,704,0,0,76,0,114,0,1308,184,9286
20241201,5:30,9338,3482,1296,3816,86,94,498,156,720,0,0,90,0,234,-2,1316,184,9338
20241201,6:00,9226,3480,1346,3678,86,112,460,156,704,0,0,98,0,228,-2,1304,184,9226
20241201,6:30,9066,3488,1376,3434,88,92,428,156,724,0,0,100,0,410,2,1416,184,9066
20241201,7:00,9004,3484,1272,3270,88,114,408,156,704,0,0,92,0,596,-4,1360,184,9004
20241201,7:30,9044,3486,1324,3130,94,90,470,156,714,66,0,80,0,676,2,1428,184,9044
20241201,8:00,9102,3486,1278,2728,90,112,412,156,692,546,0,60,0,600,-2,1240,184,9102
20241201,8:30,9108,3486,1124,2414,92,60,390,156,702,1582,0,36,0,272,-10,1380,184,9108
20241201,9:00,8620,3486,976,1700,88,110,340,156,674,2492,0,28,0,-434,-6,1172,182,8620
20241201,9:30,8536,3486,790,1350,86,34,336,156,636,3850,1,20,0,-818,-16,1556,182,8536
20241201,10:00,8636,3484,630,1132,78,58,344,156,564,4556,523,14,0,-1850,0,712,182,8636
20241201,10:30,8574,3482,820,1044,80,38,328,156,580,4630,1421,8,0,-1884,-6,884,182,8574
20241201,11:00,8368,3486,680,1048,72,54,320,156,566,4848,1711,6,0,-1906,0,1144,182,8368
20241201,11:30,8406,3482,636,1046,72,34,314,156,578,5028,2250,6,0,-1914,-4,1208,180,8406
