単位[MW平均],,,供給力,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),水力,地熱,バイオマス,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2024/07/01,00:00,2445,0,257,646,56,233,495,16,147,0,0,512,0,45,-4,42,0,2445
2024/07/01,00:30,2409,0,278,562,56,232,500,16,147,0,0,539,0,52,-3,30,0,2409
2024/07/01,01:00,2390,0,280,552,56,232,477,16,147,0,0,532,0,44,-4,58,0,2390
2024/07/01,01:30,2374,0,153,525,56,232,489,16,147,0,0,635,0,72,-4,53,0,2374
2024/07/01,02:00,2421,0,232,522,56,232,504,16,147,0,0,603,0,96,-3,16,0,2421
2024/07/01,02:30,2499,0,339,530,56,232,529,16,146,0,0,612,0,43,-4,0,0,2499
2024/07/01,03:00,2598,0,334,551,56,232,561,16,146,0,0,623,0,43,-1,37,0,2598
2024/07/01,03:30,2672,0,366,550,56,232,551,16,146,0,0,694,0,44,-1,18,0,2672
2024/07/01,04:00,2665,0,288,549,56,232,600,16,147,11,0,735,0,38,-2,-5,0,2665
2024/07/01,04:30,2703,0,254,551,56,233,614,16,147,67,0,743,0,46,-1,-23,0,2703
2024/07/01,05:00,2766,0,375,556,56,232,631,16,146,145,0,700,0,44,-2,-133,0,2766
2024/07/01,05:30,2704,0,344,545,56,232,646,16,146,194,0,646,0,44,-4,-161,0,2704
2024/07/01,06:00,2689,0,422,404,56,232,606,16,145,232,0,600,0,53,-5,-72,0,2689
2024/07/01,06:30,2729,0,517,375,56,232,557,16,144,313,0,494,0,62,-4,-33,0,2729
2024/07/01,07:00,2810,0,520,374,62,233,520,16,144,388,0,491,0,69,-5,-2,0,2810
2024/07/01,07:30,2960,0,504,397,62,232,507,16,143,480,0,577,0,41,-6,7,0,2960
2024/07/01,08:00,3106,0,334,468,101,229,494,16,145,641,0,641,0,37,-4,4,0,3106
2024/07/01,08:30,3258,0,384,477,112,228,487,16,145,722,0,667,0,21,-5,4,0,3258
2024/07/01,09:00,3343,0,354,473,112,227,481,16,145,816,0,732,0,19,-4,-28,0,3343
2024/07/01,09:30,3357,0,379,473,112,214,475,16,145,785,0,762,0,23,-8,-19,0,3357
2024/07/01,10:00,3305,0,255,509,88,188,455,16,146,912,0,782,0,9,-7,-48,0,3305
2024/07/01,10:30,3295,0,208,431,60,181,436,16,145,1130,0,724,0,-3,-8,-25,0,3295
2024/07/01,11:00,3303,0,397,398,75,181,429,16,146,1174,0,625,0,-161,-7,30,0,3303
2024/07/01,11:30,3317,0,405,451,113,181,431,16,146,1302,0,537,0,-215,-36,-14,0,3317
2024/07/01,12:00,3212,0,398,476,113,182,417,16,145,1313,0,523,0,-215,-3,-153,0,3212
2024/07/01,12:30,3130,0,278,473,113,182,434,16,145,1257,0,503,0,-216,-3,-52,0,3130
2024/07/01,13:00,3276,0,437,525,121,182,443,16,145,1230,0,526,0,-212,-2,-135,0,3276
2024/07/01,13:30,3322,0,477,570,158,181,447,16,144,1093,0,588,0,-215,-4,-133,0,3322
2024/07/01,14:00,3279,0,398,602,111,182,448,16,143,1024,0,627,0,-215,-4,-53,0,3279
2024/07/01,14:30,3235,0,389,606,117,182,475,16,146,901,0,664,0,-119,-3,-139,0,3235
