単位[MWh],,,,,,,,,,,,,,
,,,供給力,,,,,,,,,,,
月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線,供給力合計
,,,,,,,,,,,,,,
2024/1/1,0時,3811,0,2479,410,16,277,0,0,474,0,0,154,3811
,1時,3917,0,2581,437,17,277,0,0,450,0,0,155,3917
,2時,4019,0,2785,535,16,277,0,0,369,0,38,-1,4019
,3時,4102,0,2809,638,17,277,0,0,320,0,73,-31,4102
,4時,4118,0,2923,621,16,277,0,0,280,0,68,-66,4118
,5時,4021,0,2926,613,16,276,0,0,198,0,72,-81,4021
,6時,3864,0,2854,491,17,275,0,0,135,0,89,2,3864
,7時,3669,0,2819,439,16,275,18,0,94,0,58,-50,3669
,8時,3622,0,2753,368,16,276,113,0,95,0,0,2,3622
,9時,3567,0,2555,320,17,273,227,0,87,0,0,86,3567
,10時,3482,0,2303,299,16,271,375,0,68,0,0,150,3482
,11時,3400,0,2107,285,17,272,420,0,106,0,-109,303,3400
,12時,3374,0,2048,276,18,273,386,0,123,0,-115,364,3374
,13時,3326,0,2035,282,17,276,293,0,127,0,-88,385,3326
,14時,3365,0,2199,306,18,276,160,0,114,0,-98,390,3365
,15時,3532,0,2467,350,17,276,31,0,119,0,13,259,3532
,16時,3624,0,2570,530,17,274,0,0,112,0,11,110,3624
,17時,3760,0,2667,546,18,273,0,0,119,0,0,137,3760
,18時,3773,0,2718,540,17,275,0,0,130,0,0,93,3773
,19時,3728,0,2734,535,18,274,0,0,108,0,0,58,3728
,20時,3739,0,2904,457,17,275,0,0,115,0,0,-29,3739
,21時,3731,0,2822,413,17,275,0,0,133,0,20,51,3731
,22時,3646,0,2814,391,18,276,0,0,152,0,59,-64,3646
,23時,3750,0,2713,377,17,276,0,0,267,0,60,40,3750
2024/1/2,0時,3703,0,2610,339,16,276,0,0,361,0,1,100,3703
,1時,3818,0,2726,334,17,276,0,0,447,0,0,18,3818
,2時,3957,0,2680,360,16,276,0,0,598,0,0,27,3957
,3時,4040,0,2665,446,17,277,0,0,640,0,0,-5,4040
,4時,4043,0,2752,491,16,277,0,0,648,0,0,-140,4043
,5時,3960,0,2744,484,16,276,0,0,623,0,0,-184,3960
,6時,3840,0,2663,437,17,275,0,0,566,0,0,-118,3840
,7時,3706,0,2530,426,16,275,51,0,565,0,0,-157,3706
,8時,3848,0,2539,391,17,276,225,0,583,0,20,-203,3848
,9時,3835,0,2490,336,16,275,299,0,582,0,0,-162,3835
