単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/06/01,00:00,2392,0,151,859,11,132,0,754,18,236,0,0,0,507,0,98,-12,-362,0,2392
2025/06/01,00:30,2362,0,149,758,11,132,0,786,18,236,0,0,0,520,0,98,-4,-342,0,2362
2025/06/01,01:00,2376,0,144,782,11,133,0,816,18,236,0,0,0,455,0,102,-3,-318,0,2376
2025/06/01,01:30,2418,0,144,792,11,132,0,817,18,237,0,0,0,468,0,94,-2,-293,0,2418
2025/06/01,02:00,2463,0,148,810,11,132,0,817,18,237,0,0,0,468,0,94,-5,-267,0,2463
2025/06/01,02:30,2553,0,152,865,11,132,0,832,18,236,0,0,0,471,0,200,-2,-362,0,2553
2025/06/01,03:00,2604,0,143,873,11,132,0,833,18,237,0,0,0,432,0,287,0,-362,0,2604
2025/06/01,03:30,2632,0,182,922,11,132,0,832,18,237,0,1,0,362,0,307,-4,-368,0,2632
2025/06/01,04:00,2622,0,220,691,11,132,0,833,18,237,0,29,0,361,0,448,-2,-356,0,2622
2025/06/01,04:30,2636,0,305,521,11,132,0,849,18,237,0,134,0,354,0,435,-4,-356,0,2636
2025/06/01,05:00,2639,0,327,413,11,132,0,849,18,236,0,273,0,346,0,397,-6,-357,0,2639
2025/06/01,05:30,2527,0,219,411,11,132,0,814,18,236,0,407,0,341,0,311,-7,-366,0,2527
2025/06/01,06:00,2484,0,150,355,11,132,0,778,18,235,0,553,0,335,0,286,-7,-362,0,2484
2025/06/01,06:30,2434,0,146,305,11,132,0,710,18,235,0,736,0,302,0,190,-6,-345,0,2434
2025/06/01,07:00,2450,0,227,290,11,132,0,698,18,235,0,866,0,312,0,24,-7,-356,0,2450
2025/06/01,07:30,2488,0,227,345,11,132,0,690,18,236,0,1043,0,333,0,-178,-4,-365,0,2488
2025/06/01,08:00,2568,0,171,304,11,132,0,687,18,235,0,1248,0,335,0,-202,-5,-366,0,2568
2025/06/01,08:30,2606,0,159,288,11,132,0,725,18,235,0,1430,0,337,0,-359,-10,-360,0,2606
2025/06/01,09:00,2685,0,152,340,11,132,0,736,18,235,0,1597,0,331,0,-495,-5,-367,0,2685
2025/06/01,09:30,2645,0,100,282,11,132,0,745,18,234,0,1681,0,344,0,-531,-10,-361,0,2645
2025/06/01,10:00,2636,0,89,269,11,116,0,664,19,234,0,1732,0,375,0,-503,-3,-367,0,2636
2025/06/01,10:30,2638,0,89,260,11,86,0,657,19,234,0,1782,0,372,0,-503,-3,-366,0,2638
2025/06/01,11:00,2687,0,89,295,11,78,14,654,19,234,23,1856,0,319,0,-503,-2,-363,0,2687
2025/06/01,11:30,2675,0,89,286,11,78,0,651,19,234,0,1871,0,319,0,-511,-4,-368,0,2675
