単位[MW平均],,,供給力,,,,,,,,,,,,,,,,,,
DATE,TIME,エリア需要,原子力,火力(LNG),火力(石炭),火力(石油),火力(その他),火力出力制御量,水力,地熱,バイオマス,バイオマス出力制御量,太陽光発電実績,太陽光出力制御量,風力発電実績,風力出力制御量,揚水,蓄電池,連系線,その他,合計
2025/05/01,00:00,2787,0,368,1519,11,107,0,787,19,234,0,0,0,38,0,190,-5,-481,0,2787
2025/05/01,00:30,2727,0,365,1442,11,107,0,801,19,234,0,0,0,30,0,219,-3,-498,0,2727
2025/05/01,01:00,2725,0,189,1434,11,107,0,832,19,235,0,0,0,31,0,260,-2,-391,0,2725
2025/05/01,01:30,2755,0,178,1438,11,107,0,837,19,234,0,0,0,23,0,270,-3,-359,0,2755
2025/05/01,02:00,2826,0,253,1441,11,108,0,839,19,235,0,0,0,11,0,270,-5,-356,0,2826
2025/05/01,02:30,2918,0,248,1441,12,107,0,850,19,235,0,0,0,7,0,288,-6,-283,0,2918
2025/05/01,03:00,2977,0,176,1391,11,107,0,855,19,235,0,0,0,4,0,338,-7,-152,0,2977
2025/05/01,03:30,2991,0,186,1311,11,107,0,857,19,235,0,0,0,3,0,337,-5,-70,0,2991
2025/05/01,04:00,3017,0,239,1293,12,107,0,858,19,235,0,1,0,3,0,335,-5,-80,0,3017
2025/05/01,04:30,3019,0,249,1294,11,107,0,858,19,235,0,46,0,2,0,333,-5,-130,0,3019
2025/05/01,05:00,3152,0,357,1300,11,107,0,847,19,235,0,247,0,4,0,331,-6,-300,0,3152
2025/05/01,05:30,3170,0,424,1296,11,107,0,828,19,235,0,433,0,10,0,312,-5,-500,0,3170
2025/05/01,06:00,3090,0,402,1011,11,94,0,781,19,235,0,605,0,41,0,325,-4,-430,0,3090
2025/05/01,06:30,3018,0,466,735,12,69,0,768,19,236,0,846,0,44,0,109,-7,-279,0,3018
2025/05/01,07:00,2927,0,284,686,11,61,0,758,19,237,0,1058,0,64,0,-63,-7,-181,0,2927
2025/05/01,07:30,2951,0,270,578,11,62,0,718,19,240,0,1294,0,80,0,-232,-6,-83,0,2951
2025/05/01,08:00,3078,0,359,506,12,62,0,694,19,240,0,1542,0,75,0,-230,-7,-194,0,3078
2025/05/01,08:30,3166,0,321,434,12,62,0,671,19,240,0,1754,0,65,0,-234,-48,-130,0,3166
2025/05/01,09:00,3196,0,367,309,12,61,0,630,19,240,0,1899,0,73,0,-391,-5,-18,0,3196
2025/05/01,09:30,3208,0,338,227,12,60,0,622,19,239,0,1978,0,82,0,-394,-6,31,0,3208
2025/05/01,10:00,3192,0,303,194,12,54,0,594,19,240,0,2054,0,55,0,-391,-6,64,0,3192
2025/05/01,10:30,3220,0,256,250,12,53,0,569,19,240,0,2114,0,83,0,-469,-4,97,0,3220
2025/05/01,11:00,3256,0,230,306,11,54,0,568,19,240,0,2141,0,83,0,-474,-5,83,0,3256
