date,pref,solar_kw,wind_kw
2014-12-31,熊本県,619646.693,30200.0
2014-12-31,石川県,133540.151,117020.0
2014-12-31,神奈川県,426626.60000000003,6270.0
2014-12-31,福井県,92772.527,20000.0
2014-12-31,福岡県,1062889.0159999998,20851.7
2014-12-31,福島県,381383.0,143760.0
2014-12-31,秋田県,63886.1,149030.0
2014-12-31,群馬県,638478.1,340.0
2014-12-31,茨城県,915707.0999999999,97690.0
2014-12-31,長崎県,388906.436,106070.0
2014-12-31,長野県,596936.5,0.0
2014-12-31,青森県,119890.0,344160.0
2014-12-31,静岡県,820648.1000000001,117997.8
2014-12-31,香川県,314309.058,0.0
2014-12-31,高知県,170347.447,36150.0
2014-12-31,鳥取県,129524.398,59100.0
2014-12-31,鹿児島県,746627.074,249061.5
2015-03-31,三重県,646159.5,72000.0
2015-03-31,京都府,265887.2,4502.5
2015-03-31,佐賀県,354346.314,42650.0
2015-03-31,兵庫県,1051927.766,55100.0
2015-03-31,北海道,603606.656,319907.1
2015-03-31,千葉県,1000139.0,66963.0
2015-03-31,和歌山県,217925.3,94660.0
2015-03-31,埼玉県,792043.1000000001,0.0
2015-03-31,大分県,607825.522,11490.0
2015-03-31,大阪府,614152.6000000001,0.0
2015-03-31,奈良県,238188.7,0.0
2015-03-31,宮城県,395873.2,0.0
2015-03-31,宮崎県,567984.581,0.0
2015-03-31,富山県,142453.95,3300.0
2015-03-31,山口県,399295.494,113450.0
2015-03-31,山形県,95152.5,46030.0
2015-03-31,山梨県,315536.2,0.0
2015-03-31,岐阜県,545975.01,9200.0
2015-03-31,岡山県,586486.5830000001,0.0
2015-03-31,岩手県,206724.2,67080.0
2015-03-31,島根県,132913.821,128254.0
2015-03-31,広島県,610397.963,0.0
2015-03-31,徳島県,313828.60500000004,19500.5
2015-03-31,愛媛県,402795.797,89300.0
2015-03-31,愛知県,1279357.5,65960.0
2015-03-31,新潟県,151183.2,28275.0
2015-03-31,東京都,377439.02,3650.0
2015-03-31,栃木県,791491.3,0.0
2015-03-31,沖縄県,247793.64099999997,16238.0
2015-03-31,滋賀県,373106.4,1500.0
2015-03-31,熊本県,717726.977,30210.4
2015-03-31,石川県,156469.586,124500.0
2015-03-31,神奈川県,461375.7,6270.0
2015-03-31,福井県,109675.036,20000.0
2015-03-31,福岡県,1218382.916,20851.7
2015-03-31,福島県,486578.3,159760.0
2015-03-31,秋田県,72823.3,205300.0
2015-03-31,群馬県,714161.3999999999,340.0
2015-03-31,茨城県,1084258.2,97693.0
2015-03-31,長崎県,440485.51600000006,106070.0
2015-03-31,長野県,664445.8999999999,0.0
2015-03-31,青森県,132950.9,364160.0
2015-03-31,静岡県,921992.1,117997.8
2015-03-31,香川県,354292.28500000003,0.0
2015-03-31,高知県,199129.78,36150.0
2015-03-31,鳥取県,140137.646,59100.0
2015-03-31,鹿児島県,855212.7139999999,253061.5
2015-06-30,三重県,731387.6000000001,72000.0
2015-06-30,京都府,293466.3,4502.5
2015-06-30,佐賀県,384830.722,42650.0
2015-06-30,兵庫県,1195125.666,55100.0
2015-06-30,北海道,656913.9639999999,319907.1
2015-06-30,千葉県,1156431.9,66963.0
2015-06-30,和歌山県,244927.90000000002,94660.0
2015-06-30,埼玉県,860890.7,0.0
2015-06-30,大分県,668288.592,11490.0
2015-06-30,大阪府,656277.0,0.0
2015-06-30,奈良県,268575.0,0.0
2015-06-30,宮城県,463794.3,3.2
2015-06-30,宮崎県,629271.496,0.0
2015-06-30,富山県,151019.59600000002,3300.0
2015-06-30,山口県,438721.348,113450.0
2015-06-30,山形県,104517.0,46033.0
2015-06-30,山梨県,354311.2,0.0
2015-06-30,岐阜県,613434.51,9200.0
2015-06-30,岡山県,651258.341,0.0
2015-06-30,岩手県,232918.7,67080.0
2015-06-30,島根県,142936.456,128254.0
2015-06-30,広島県,672447.629,0.0
2015-06-30,徳島県,346468.19200000004,19500.5
2015-06-30,愛媛県,457085.824,89300.0
2015-06-30,愛知県,1409491.2,65960.0
2015-06-30,新潟県,168678.69999999998,28323.4
2015-06-30,東京都,392662.22,3650.0
2015-06-30,栃木県,927673.9,0.0
2015-06-30,沖縄県,274924.084,16238.0
2015-06-30,滋賀県,420539.39999999997,1500.0
2015-06-30,熊本県,790624.9269999999,30210.4
2015-06-30,石川県,174594.92099999997,124500.0
2015-06-30,神奈川県,497204.10000000003,6270.0
2015-06-30,福井県,116600.98,20000.0
2015-06-30,福岡県,1337863.3059999999,20861.2
2015-06-30,福島県,564705.1,159760.0
2015-06-30,秋田県,80026.9,205300.0
2015-06-30,群馬県,820519.9,340.0
2015-06-30,茨城県,1239410.31,97693.0
2015-06-30,長崎県,510400.12600000005,106070.0
2015-06-30,長野県,725621.4,0.0
2015-06-30,青森県,152500.0,364160.0
2015-06-30,静岡県,1022387.6,134697.8
2015-06-30,香川県,395878.20700000005,0.0
2015-06-30,高知県,225110.081,36150.0
2015-06-30,鳥取県,152888.89800000002,59100.0
2015-06-30,鹿児島県,956312.7339999999,253061.5
2015-09-30,三重県,803331.2000000001,72000.0
2015-09-30,京都府,315518.8,4502.5
2015-09-30,佐賀県,407229.90800000005,42650.0
2015-09-30,兵庫県,1287829.766,55100.0
2015-09-30,北海道,703291.952,319568.89999999997
2015-09-30,千葉県,1274899.2,66963.0
2015-09-30,和歌山県,260920.39999999997,94660.0
2015-09-30,埼玉県,921896.9,0.0
2015-09-30,大分県,706744.6220000001,11496.4
2015-09-30,大阪府,683846.0,0.0
2015-09-30,奈良県,289151.6,0.0
2015-09-30,宮城県,491110.0,6.4
2015-09-30,宮崎県,673166.6059999999,0.0
2015-09-30,富山県,167293.829,3300.0
2015-09-30,山口県,477355.01,113450.0
2015-09-30,山形県,131363.9,46033.0
2015-09-30,山梨県,389330.19999999995,0.0
2015-09-30,岐阜県,666135.11,9200.0
2015-09-30,岡山県,705432.2270000001,0.0
2015-09-30,岩手県,269265.80000000005,67080.0
2015-09-30,島根県,153256.323,128254.0
2015-09-30,広島県,717646.8520000001,0.0
2015-09-30,徳島県,370050.325,19500.5
2015-09-30,愛媛県,494512.13300000003,89300.0
2015-09-30,愛知県,1505172.0,65960.0
2015-09-30,新潟県,195382.89999999997,28343.2
2015-09-30,東京都,404702.62,3650.0
2015-09-30,栃木県,1055834.0,0.0
2015-09-30,沖縄県,283122.253,16238.0
2015-09-30,滋賀県,452343.6,1500.0
2015-09-30,熊本県,831853.637,30210.4
2015-09-30,石川県,194705.149,124500.0
2015-09-30,神奈川県,530593.4,6270.0
2015-09-30,福井県,121055.11599999998,20000.0
2015-09-30,福岡県,1443059.081,20861.2
2015-09-30,福島県,604704.7,159760.0
2015-09-30,秋田県,87068.79999999999,207299.8
2015-09-30,群馬県,893304.9,340.0
