date,solar_kw,wind_kw,area
2014-06-30,385368.946,316686.1,hokkaido
2014-07-31,396570.1780217391,316687.1108695652,hokkaido
2014-08-31,407771.41004347824,316688.1217391304,hokkaido
2014-09-30,418611.312,316689.1,hokkaido
2014-10-31,449090.442923913,317436.4695652174,hokkaido
2014-11-30,478586.37607608695,318159.73043478257,hokkaido
2014-12-31,509065.507,318907.1,hokkaido
2015-01-31,541629.6805444444,319251.5444444444,hokkaido
2015-02-28,571042.4824555555,319562.65555555554,hokkaido
2015-03-31,603606.656,319907.1,hokkaido
2015-04-30,621180.4938021977,319907.1,hokkaido
2015-05-31,639340.1261978021,319907.1,hokkaido
2015-06-30,656913.9639999999,319907.1,hokkaido
2015-07-31,672541.329521739,319793.1413043478,hokkaido
2015-08-31,688168.6950434783,319679.18260869564,hokkaido
2015-09-30,703291.952,319568.89999999997,hokkaido
2015-10-31,756299.2496086957,319605.22391304345,hokkaido
2015-11-30,807596.6343913043,319640.3760869565,hokkaido
2015-12-31,860603.932,319676.69999999995,hokkaido
2016-01-31,905744.3803296704,319676.69999999995,hokkaido
2016-02-29,947972.5416703296,319676.69999999995,hokkaido
2016-03-31,993112.99,319676.69999999995,hokkaido
2016-04-30,1003802.0773626374,319676.69999999995,hokkaido
2016-05-31,1014847.4676373625,319676.69999999995,hokkaido
2016-06-30,1025536.5549999999,319676.69999999995,hokkaido
2016-07-31,1036824.9121847826,319694.8619565217,hokkaido
2016-08-31,1048113.2693695652,319713.02391304343,hokkaido
2016-09-30,1059037.486,319730.6,hokkaido
2016-10-31,1070325.8431847824,319748.7619565217,hokkaido
2016-11-30,1081250.0598152173,319766.33804347826,hokkaido
2016-12-31,1092538.417,319784.5,hokkaido
2017-01-31,1104479.238111111,331542.86888888886,hokkaido
2017-02-28,1115264.4958888888,342163.3311111111,hokkaido
2017-03-31,1127205.317,353921.69999999995,hokkaido
2017-04-30,1149997.3673296703,353941.0846153846,hokkaido
2017-05-31,1173549.1526703297,353961.1153846154,hokkaido
2017-06-30,1196341.203,353980.5,hokkaido
2017-07-31,1212478.2877065218,353987.1043478261,hokkaido
2017-08-31,1228615.3724130434,353993.70869565214,hokkaido
2017-09-30,1244231.906,354000.1,hokkaido
2017-10-31,1248363.0023913044,354053.37282608694,hokkaido
2017-11-30,1252360.8376086957,354104.927173913,hokkaido
2017-12-31,1256491.9340000001,354158.19999999995,hokkaido
