round,no,company,project,type,kw,pref
3,10,ヘキサ・エネルギーサービス合同会社,HC25東北第二蓄電システム,蓄電池（リチウムイオン蓄電池以外の蓄電池）,43543,不明
3,12,合同会社NRE-54インベストメント,NRE中川第ニ蓄電所,蓄電池（リチウムイオン蓄電池）,46828,不明
3,13,Stonepeak Kingdom Holdings 合同会社 Kingdom-3,,蓄電池（リチウムイオン蓄電池以外の蓄電池）,95582,不明
3,14,Stonepeak Kingdom Holdings 合同会社 Kingdom-6,,蓄電池（リチウムイオン蓄電池以外の蓄電池）,45931,不明
3,15,Stonepeak Kingdom Holdings 合同会社 Kingdom-1,,蓄電池（リチウムイオン蓄電池）,32778,不明
3,16,合同会社蓄電所1号,蓄電所3号,蓄電池（リチウムイオン蓄電池以外の蓄電池）,36722,不明
3,17,合同会社蓄電所3号,Battery116号系統用蓄電所,蓄電池（リチウムイオン蓄電池以外の蓄電池）,141527,不明
3,18,合同会社蓄電所3号,Battery23号系統用蓄電所,蓄電池（リチウムイオン蓄電池以外の蓄電池）,140098,不明
3,20,合同会社ホモデウス,HD1号,蓄電池（リチウムイオン蓄電池）,45192,不明
3,21,合同会社ポーラーベアー,しろくま33,蓄電池（リチウムイオン蓄電池）,33737,不明
3,22,合同会社ポーラーベアー,しろくま36,蓄電池（リチウムイオン蓄電池）,30128,不明
3,23,合同会社ZEUS,ZEUS-A,蓄電池（リチウムイオン蓄電池以外の蓄電池）,75165,不明
3,24,合同会社ZEUS,ZEUS-B,蓄電池（リチウムイオン蓄電池以外の蓄電池）,74163,不明
3,25,ＣＳ青森八戸ＥＳＳ合同会社,ＣＳ青森八戸２蓄電所,蓄電池（リチウムイオン蓄電池）,90734,青森県
3,26,合同会社バッテリーパーク１５,鹿児島薩摩川内蓄電所,蓄電池（リチウムイオン蓄電池）,45705,鹿児島県
3,27,合同会社バッテリーパーク２０,宮城石巻蓄電所2号,蓄電池（リチウムイオン蓄電池）,114012,宮城県
